source,target,annotation
The benefits of doing so are able to outweigh its disadvantages .,The benefits of doing so can to its disadvantages .,A 5 6|||Vm|||can|||REQUIRED|||-NONE-|||0; A 6 7|||Rloc-||||||REQUIRED|||-NONE-|||0; A 7 8|||Prep||||||REQUIRED|||-NONE-|||0
More supports must be provided through different means to give better direction when one is standing of such junction whether should him/her to inform the relatives .,More support must be provided through different means in order to give better direction someone one is at the such between to inform the informing their or not,A 1 2|||Nn|||support|||REQUIRED|||-NONE-|||0; A 8 8|||Trans|||in order|||REQUIRED|||-NONE-|||0; A 13 14|||Pform|||someone|||REQUIRED|||-NONE-|||0; A 16 17|||Prep|||at|||REQUIRED|||-NONE-|||0; A 17 18|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 19 20|||Prep|||between|||REQUIRED|||-NONE-|||0; A 20 23|||Rloc-||||||REQUIRED|||-NONE-|||0; A 23 24|||Vform|||informing|||REQUIRED|||-NONE-|||0; A 24 25|||ArtOrDet|||their|||REQUIRED|||-NONE-|||0; A 26 26|||Others|||or not|||REQUIRED|||-NONE-|||0
The decision to undergo genetic testing can only be made by the individual at risk for a disorder .,The decision to undergo genetic testing can only be made by the individual at risk for a disorder .,NONE
This is the common law in the society .,This is the common law in society .,A 6 7|||ArtOrDet||||||REQUIRED|||-NONE-|||0
"However , it leads to a new problem that "" should a carrier of a known genetic risk be obligated to tell his or her relatives ?","However , it leads to a new problem of "" should a carrier of a known genetic risk be obligated to tell their relatives ?",A 8 9|||Prep|||of|||REQUIRED|||-NONE-|||0; A 22 25|||Pref|||their|||REQUIRED|||-NONE-|||0
""" This issue has been discussed for a long time .",""" This issue has been discussed for a long time .",NONE
"However , there is still a diversity of point of views among the people .","However , there is still a diversity of opinions among the people",A 8 11|||Wci|||opinions|||REQUIRED|||-NONE-|||0; A 12 13|||ArtOrDet||||||REQUIRED|||-NONE-|||0
"Thus , we are going to identify the advantages and disadvantages of the issue which is "" should or should not "" .","Thus , we are going to identify the advantages and disadvantages of the issue is of should or should not "" .",A 14 15|||Rloc-||||||REQUIRED|||-NONE-|||0; A 15 16|||Prep|||of|||REQUIRED|||-NONE-|||0
"Firstly , I believe most of us will agree with the sentences below : "" I will be anxious about my families when he or she told me that he or she was a carrier of a known genetic risk "" .","Firstly , I believe most of us will agree with the following sentence : "" I will would anxious about my families family member if they me that he or she they of a were genetic risk "" .",A 11 12|||Others|||following sentence|||REQUIRED|||-NONE-|||0; A 12 13|||Prep||||||REQUIRED|||-NONE-|||0; A 16 17|||Vm|||would|||REQUIRED|||-NONE-|||0; A 21 22|||Others|||family member|||REQUIRED|||-NONE-|||0; A 22 23|||Trans|||if|||REQUIRED|||-NONE-|||0; A 23 26|||Pref|||they|||REQUIRED|||-NONE-|||0; A 29 32|||Pref|||they|||REQUIRED|||-NONE-|||0; A 32 33|||SVA|||were|||REQUIRED|||-NONE-|||0
"Frequently , the intention of the carriers does not want to tell their families are to continue their own life without the anxious of families .","Frequently , the intention of the carrier who does not want to tell family is are to continue their own life dealing with anxieties the their family of families .",A 6 7|||Nn|||carrier|||REQUIRED|||-NONE-|||0; A 7 7|||Pref|||who|||REQUIRED|||-NONE-|||0; A 13 14|||Nn|||family|||REQUIRED|||-NONE-|||0; A 14 15|||SVA|||is|||REQUIRED|||-NONE-|||0; A 21 21|||Others|||dealing with|||REQUIRED|||-NONE-|||0; A 22 23|||Wform|||anxieties|||REQUIRED|||-NONE-|||0; A 24 25|||Pref|||their family|||REQUIRED|||-NONE-|||0
It is obvious that there will be better for one person to be worried than many .,It is obvious that it would be better for one person to be worried than many .,A 4 5|||Pref|||it|||REQUIRED|||-NONE-|||0; A 5 6|||Vm|||would|||REQUIRED|||-NONE-|||0
"However , many of the carriers are not strong enough to overcome the challenges oneself .","However , of carriers not strong enough to overcome the challenges oneself . themselves",A 2 3|||Rloc-||||||REQUIRED|||-NONE-|||0; A 3 4|||Prep||||||REQUIRED|||-NONE-|||0; A 4 5|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 14 15|||Pref|||themselves|||REQUIRED|||-NONE-|||0
"With the families ' support , there must be more energy to fight against with the demon .","With their families ' support , there must be more efforts to fight against the demon disease",A 1 2|||ArtOrDet|||their|||REQUIRED|||-NONE-|||0; A 10 11|||Wci|||efforts|||REQUIRED|||-NONE-|||0; A 14 15|||Prep||||||REQUIRED|||-NONE-|||0; A 16 17|||Wci|||disease|||REQUIRED|||-NONE-|||0
Demon is not easily to be defeated and it is required much of energy and psychological support .,A disease is not easily be and it is required of requires and support .,A 0 1|||Wci|||A disease|||REQUIRED|||-NONE-|||0; A 4 5|||Prep||||||REQUIRED|||-NONE-|||0; A 5 6|||Rloc-||||||REQUIRED|||-NONE-|||0; A 9 10|||Rloc-||||||REQUIRED|||-NONE-|||0; A 10 11|||Vt|||requires|||REQUIRED|||-NONE-|||0; A 12 13|||Prep||||||REQUIRED|||-NONE-|||0
Families give you the courage and support which you can not retrieve by yourself .,Families give you the courage and support which you can not get by yourself .,A 11 12|||Wci|||get|||REQUIRED|||-NONE-|||0
That is the most essential elements to overcome the challenges .,These are the most essential elements to overcome these challenges .,A 0 1|||ArtOrDet|||These|||REQUIRED|||-NONE-|||0; A 1 2|||SVA|||are|||REQUIRED|||-NONE-|||0; A 8 9|||ArtOrDet|||these|||REQUIRED|||-NONE-|||0
"Besides that , the risk of the known genetic is very serious that it can not be described .","Besides that , the known genetic risk is very serious that it so not be described .",A 4 9|||WOinc|||known genetic risk|||REQUIRED|||-NONE-|||0; A 10 11|||Wci|||so|||REQUIRED|||-NONE-|||0
The seriousness can be larger than our imagination .,The seriousness can be bigger than our imagination .,A 4 5|||Wci|||bigger|||REQUIRED|||-NONE-|||0
"Lying on the bed for the remaining life , and even die immediately , these are the consequences which we can not imagine .","Lying on a bed for the rest of your life , and even dying immediately , are the which we can not imagine .",A 2 3|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 6 7|||Wci|||rest of your|||REQUIRED|||-NONE-|||0; A 11 12|||Vform|||dying|||REQUIRED|||-NONE-|||0; A 14 15|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 16 17|||ArtOrDet||||||REQUIRED|||-NONE-|||0
Families are our dearest in our life .,Families are the dearest things in lives life .,A 2 3|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 4 4|||Others|||things|||REQUIRED|||-NONE-|||0; A 6 7|||Nn|||lives|||REQUIRED|||-NONE-|||0
"Without their concern and support , we are hard to stay until this time .","Without their concern and support , we will find it hard to .",A 7 8|||Others|||will find it|||REQUIRED|||-NONE-|||0; A 10 14|||Um||||||REQUIRED|||-NONE-|||0
They play the important role in our life which can not be substituted .,"They play an important role in our lives , which can not be substituted .","A 2 3|||ArtOrDet|||an|||REQUIRED|||-NONE-|||0; A 7 8|||Wform|||lives ,|||REQUIRED|||-NONE-|||0"
A known genetic risk can also affect our next generation critically .,A known genetic risk can also affect the next generation critically .,A 7 8|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0
"Therefore , it is our responsibility to tell the relatives to prevent the occurrence of undesired consequences .","Therefore , it is our responsibility to tell our relatives in order to the of consequences .",A 8 9|||ArtOrDet|||our|||REQUIRED|||-NONE-|||0; A 10 10|||Trans|||in order|||REQUIRED|||-NONE-|||0; A 12 13|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 13 14|||Rloc-||||||REQUIRED|||-NONE-|||0; A 14 15|||Prep||||||REQUIRED|||-NONE-|||0
"Generally , the clinic or hospital will not tell the carrier 's families without the agreement of carrier .","Generally , the clinic or hospital will not tell the carrier 's families without the agreement of the carrier .",A 17 17|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0
It is the ethic of staff in hospital to keep the secret of any patients .,It is ethic ethical for the in hospitals to keep the confidentiality of any patients .,A 2 3|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 3 4|||Wform|||ethical|||REQUIRED|||-NONE-|||0; A 4 5|||Prep|||for|||REQUIRED|||-NONE-|||0; A 5 5|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 7 8|||Nn|||hospitals|||REQUIRED|||-NONE-|||0; A 11 12|||Wci|||confidentiality|||REQUIRED|||-NONE-|||0
We can not blame them that they are liable to the undesired consequences .,We can not blame them if they are liable for the undesired consequences .,A 5 6|||Trans|||if|||REQUIRED|||-NONE-|||0; A 9 10|||Prep|||for|||REQUIRED|||-NONE-|||0
"However , hospital can provide a councilor to advice the carrier about the action can be taken .","However , the hospital can provide a councilor advise advice the carrier about actions that action can be taken .",A 2 2|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 8 9|||Wform|||advise|||REQUIRED|||-NONE-|||0; A 13 14|||Nn|||actions|||REQUIRED|||-NONE-|||0; A 14 14|||ArtOrDet|||that|||REQUIRED|||-NONE-|||0
"Therefore , this kind of circumstances will not be happened again and again .","Therefore , these kinds of circumstances will not happened happen and again .",A 2 3|||ArtOrDet|||these|||REQUIRED|||-NONE-|||0; A 3 4|||Nn|||kinds|||REQUIRED|||-NONE-|||0; A 8 9|||Rloc-||||||REQUIRED|||-NONE-|||0; A 9 10|||Vt|||happen|||REQUIRED|||-NONE-|||0
It is a method that benefits two parties which is a win-win situation .,It is a method that benefits both parties and is a win-win situation .,A 6 7|||Wci|||both|||REQUIRED|||-NONE-|||0; A 8 9|||ArtOrDet|||and|||REQUIRED|||-NONE-|||0
"In conclusion , a carrier of a known genetic risk is encouraged to tell his or her relatives about the known genetic risk .","In conclusion , a carrier of a known genetic risk is encouraged to tell their relatives about the known genetic risk .",A 14 17|||Pref|||their|||REQUIRED|||-NONE-|||0
"However , there may be some special case that is hard to be defined .","However , there may be some special cases that is hard to defined define",A 7 8|||Nn|||cases|||REQUIRED|||-NONE-|||0; A 12 13|||Rloc-||||||REQUIRED|||-NONE-|||0; A 13 14|||Vform|||define|||REQUIRED|||-NONE-|||0
"Thus , advice from hospital plays the important role for this .","Thus , advice from a hospital plays the important in doing for this .",A 4 4|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 9 10|||Prep|||in doing|||REQUIRED|||-NONE-|||0
Carrier is responsible to balance his or her own interest and the benefits of family and even society .,"The carrier is responsible for balancing their own interest and interests , of family and to the society . to","A 0 1|||ArtOrDet|||The carrier|||REQUIRED|||-NONE-|||0; A 3 4|||Prep|||for|||REQUIRED|||-NONE-|||0; A 4 5|||Vform|||balancing|||REQUIRED|||-NONE-|||0; A 5 8|||Pref|||their|||REQUIRED|||-NONE-|||0; A 9 10|||Nn|||interests ,|||REQUIRED|||-NONE-|||0; A 10 11|||Rloc-||||||REQUIRED|||-NONE-|||0; A 13 14|||Prep|||to the|||REQUIRED|||-NONE-|||0; A 17 17|||Prep|||to|||REQUIRED|||-NONE-|||0"
"It is a hard decision to make but with the most appropriate way , it will create great circumstances for the carrier and families in the future .","It is a hard decision to make but when done in the most appropriate way , it will create good circumstances for the carrier and their family in the future .",A 8 9|||Others|||when done in|||REQUIRED|||-NONE-|||0; A 17 18|||Wci|||good|||REQUIRED|||-NONE-|||0; A 23 24|||Pref|||their family|||REQUIRED|||-NONE-|||0
"With the risk of being genetically disorder , many individuals have done the decision to undergo genetic testing .","With the risk of having a genetic disorder , many individuals have made the decision to undergo genetic testing .",A 4 5|||Wci|||having|||REQUIRED|||-NONE-|||0; A 5 6|||ArtOrDet|||a genetic|||REQUIRED|||-NONE-|||0; A 11 12|||Wci|||made|||REQUIRED|||-NONE-|||0
"With the nature that the results will be known once the tests are done , each individual that is diagnosed to be a genetic risk carrier face an ethical problem : They should warn their relatives about the risking of being the same genetic risk carrier .","With the knowledge that the results will be known once the tests are done , each individual that is diagnosed to be a genetic risk carrier faces an ethical problem : should they warn their relatives about the risking risk being the a carrier of the same genetic risk",A 2 3|||Wci|||knowledge|||REQUIRED|||-NONE-|||0; A 26 27|||SVA|||faces|||REQUIRED|||-NONE-|||0; A 31 33|||WOinc|||should they|||REQUIRED|||-NONE-|||0; A 38 39|||Vform|||risk|||REQUIRED|||-NONE-|||0; A 41 46|||WOinc|||a carrier of the same genetic risk|||REQUIRED|||-NONE-|||0
Or they can choose to keep silent until the next carrier is diagnosed .,Or they could choose to keep silent until the next carrier is diagnosed .,A 2 3|||Vm|||could|||REQUIRED|||-NONE-|||0
"In the view of my point , a carrier of a known genetic risk should not be obligated to tell his or her relatives , with the support of the following reasons .","To the point of view , a carrier of a known genetic risk should not be obligated to tell his or her their the support of the following reasons . arguments",A 0 1|||Prep|||To|||REQUIRED|||-NONE-|||0; A 2 6|||WOinc|||point of view|||REQUIRED|||-NONE-|||0; A 20 23|||Pref|||their|||REQUIRED|||-NONE-|||0; A 31 32|||Wci|||arguments|||REQUIRED|||-NONE-|||0
"First of all , from the angle of human right , a genetic risk carrier should not be obligated to tell the truth to others .","First of all , from the angle of human rights , a genetic risk carrier should not be obligated to tell the truth to others .",A 9 10|||Nn|||rights|||REQUIRED|||-NONE-|||0
This diagnosis can be regarded as a kind of privacy to carriers .,This diagnosis can be regarded as a matter of privacy to carriers .,A 7 8|||Wci|||matter|||REQUIRED|||-NONE-|||0
They may do not want this truth to influence their life or want to keep it as a secret and do not others know about it .,"They may not want this truth to influence their life lives , want to keep it as a secret and do not others want to know about it .","A 2 3|||Rloc-||||||REQUIRED|||-NONE-|||0; A 10 11|||Nn|||lives ,|||REQUIRED|||-NONE-|||0; A 22 22|||V0|||want|||REQUIRED|||-NONE-|||0; A 23 23|||Prep|||to|||REQUIRED|||-NONE-|||0"
This is reasonable since the exposure of the truth of being a carrier may make them be discriminated or sympothized by others which is not positive factors brought to their life .,"This is reasonable since the exposure of the truth of being a carrier may make them be discriminated against pitied sympothized by , would not which be is positive in brought lives their life .","A 18 18|||Prep|||against|||REQUIRED|||-NONE-|||0; A 19 20|||Wci|||pitied|||REQUIRED|||-NONE-|||0; A 22 22|||Mec|||,|||REQUIRED|||-NONE-|||0; A 23 24|||Vm|||would not|||REQUIRED|||-NONE-|||0; A 25 25|||V0|||be|||REQUIRED|||-NONE-|||0; A 27 28|||Rloc-||||||REQUIRED|||-NONE-|||0; A 28 29|||Prep|||in|||REQUIRED|||-NONE-|||0; A 30 31|||Nn|||lives|||REQUIRED|||-NONE-|||0"
"Seconly , the relatives of the carrier can also choose to do genetic testing regardless of the dignosis of the carrier .","Secondly , the relatives of the carrier can also choose to do genetic testing regardless of the diagnosis of the carrier .",A 0 1|||Mec|||Secondly|||REQUIRED|||-NONE-|||0; A 17 18|||Mec|||diagnosis|||REQUIRED|||-NONE-|||0
"When people want to check whether they are genetic risk carriers , they can go and approach a doctor to consult about it .","When people want to check whether they are genetic risk carriers , they can approach a doctor to consult about it .",A 14 16|||Rloc-||||||REQUIRED|||-NONE-|||0
"If they do not want to think too much of it and view it as a trouble , they may just ignore the possibility .","If they do not want to think too much about it and view it as a problem , they may just ignore the possibility .",A 9 10|||Prep|||about|||REQUIRED|||-NONE-|||0; A 16 17|||Wci|||problem|||REQUIRED|||-NONE-|||0
"However , if a dignosed carrier is obligated to tell his or her relatives , the relatives will be forced to know their higher chance of being genetic risk carriers .","However , if a diagnosed carrier is obligated to tell their relatives , the relatives will be forced to know their higher about chance of being genetic risk carriers .",A 4 5|||Mec|||diagnosed|||REQUIRED|||-NONE-|||0; A 10 13|||Pref|||their|||REQUIRED|||-NONE-|||0; A 22 22|||Prep|||about|||REQUIRED|||-NONE-|||0
This obeys their own willingness as in they have to accept the truth which may make their following life miserable .,"This as in they have to the truth which may make their following , life miserable the rest of their","A 1 5|||Um||||||REQUIRED|||-NONE-|||0; A 6 7|||Prep||||||REQUIRED|||-NONE-|||0; A 13 13|||Mec|||,|||REQUIRED|||-NONE-|||0; A 16 17|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 17 18|||Others|||rest of their|||REQUIRED|||-NONE-|||0"
"Many people many argue that setting the obligation may help more people , who are the relatives of the carriers , save their lives with a larger opportunity because of the early diagnosis .","Many people may argue that enforcing the obligation may help many people , who are relatives of the carriers , save have a greater opportunity to save their own lives of the early diagnosis .",A 2 3|||Vm|||may|||REQUIRED|||-NONE-|||0; A 5 6|||Wci|||enforcing|||REQUIRED|||-NONE-|||0; A 10 11|||Wci|||many|||REQUIRED|||-NONE-|||0; A 15 16|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 21 28|||WOinc|||have a greater opportunity to save their own lives|||REQUIRED|||-NONE-|||0
"However , this is not exactly true when other factors including psychological influence , social influence , are taken into consideration .","However , this is not exactly true when other factors , including psychological influence and , social influence , are taken into consideration .","A 10 10|||Mec|||,|||REQUIRED|||-NONE-|||0; A 14 14|||Trans|||and|||REQUIRED|||-NONE-|||0"
"If one such relative is told that he or she may have higher risk of getting sick , he or she may have be scared about the unknown life , partners , spouse and colleagues may choose to leave , and many other situations may happen which means the relative 's life may be ruined .","If one such relative is told that they may have higher risk a of getting sick , he they have be scared the unknown life , partners , and colleagues and that may spouses to leave , and many other situations may happen which means the occur 's life may be ruined .",A 7 10|||Pref|||they|||REQUIRED|||-NONE-|||0; A 12 12|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 18 21|||Pref|||they|||REQUIRED|||-NONE-|||0; A 22 23|||Rloc-||||||REQUIRED|||-NONE-|||0; A 28 29|||Rloc-||||||REQUIRED|||-NONE-|||0; A 30 30|||Trans|||and that|||REQUIRED|||-NONE-|||0; A 32 33|||Nn|||spouses|||REQUIRED|||-NONE-|||0; A 45 46|||Wci|||occur|||REQUIRED|||-NONE-|||0
"On the other side , as stated above , a person who want to confirm and has been prepared to face the result can choose to do the genetic testing individually .","On the other hand , as stated above , a person who wants to whether they have a genetic risk and is prepared to face the result can choose to do the genetic testing individually .",A 3 4|||Wci|||hand|||REQUIRED|||-NONE-|||0; A 12 13|||SVA|||wants|||REQUIRED|||-NONE-|||0; A 14 15|||Others|||whether they have a genetic risk|||REQUIRED|||-NONE-|||0; A 16 18|||Vform|||is|||REQUIRED|||-NONE-|||0
"In a nutshell , a carrier of a known genetic risk should have their own right to decide whether to tell their relatives or not .","In a nutshell , a carrier of a known genetic risk should have their own right to decide whether to tell their relatives or not .",NONE
"This should be accepted from the point of human right , freedom of acceptance of relatives as well as many other social reasons .","This should be accepted from the standpoint of human rights , freedom of acceptance of relatives as well as many other social reasons .",A 6 7|||Wci|||standpoint|||REQUIRED|||-NONE-|||0; A 9 10|||Nn|||rights|||REQUIRED|||-NONE-|||0
"Otherwise , making it an obligation will restric the choice of carriers and bring a lot of confusion to their relatives .","Otherwise , making it an obligation will restrict the choice of carriers and bring a lot of confusion to their relatives .",A 7 8|||Mec|||restrict|||REQUIRED|||-NONE-|||0
"For a carrier of genetic disorder to know the fact that he or she is a carrier , it causes more dilemma rather than getting the disorder .","For a carrier of genetic disorder , to the that he they a carrier are it causes more dilemma rather a greater getting disorder .","A 6 6|||Mec|||,|||REQUIRED|||-NONE-|||0; A 8 9|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 9 10|||Rloc-||||||REQUIRED|||-NONE-|||0; A 11 14|||Pref|||they|||REQUIRED|||-NONE-|||0; A 14 15|||SVA|||are|||REQUIRED|||-NONE-|||0; A 20 21|||Wci|||a greater|||REQUIRED|||-NONE-|||0; A 22 23|||Rloc-||||||REQUIRED|||-NONE-|||0"
I agree that a carrier of a known genetic risk is obligated to tell his or her relatives .,I agree that a carrier of a known genetic risk should be obligated to tell their relatives .,A 10 11|||Vm|||should be|||REQUIRED|||-NONE-|||0; A 14 17|||Pref|||their|||REQUIRED|||-NONE-|||0
There are four reasons why people do n't have to be shy and share their problems regarding genetic disorder .,There are four reasons why people do not have to be shy and should share their problems a regarding genetic disorder .,A 7 8|||Wtone|||not|||REQUIRED|||-NONE-|||0; A 13 13|||Vm|||should|||REQUIRED|||-NONE-|||0; A 17 17|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0
"Firstly , the carrier and his or her family can take precautions , physically by actions to reduce the chance of it being inherited to offspring and , mentally if the action fails to prevent it being inherited .","Firstly , the carrier and their family can take precautions , physically by through physical actions , the chance of it being chances to offspring and passed down mentally if , action fails to these actions fail inherited . from","A 5 8|||Pref|||their|||REQUIRED|||-NONE-|||0; A 13 16|||WOinc|||through physical actions ,|||REQUIRED|||-NONE-|||0; A 19 20|||Nn|||chances|||REQUIRED|||-NONE-|||0; A 23 24|||Wci|||passed down|||REQUIRED|||-NONE-|||0; A 26 26|||Mec|||,|||REQUIRED|||-NONE-|||0; A 27 28|||Mec||||||REQUIRED|||-NONE-|||0; A 30 31|||ArtOrDet|||these|||REQUIRED|||-NONE-|||0; A 31 32|||Nn|||actions|||REQUIRED|||-NONE-|||0; A 32 33|||SVA|||fail|||REQUIRED|||-NONE-|||0; A 36 36|||Prep|||from|||REQUIRED|||-NONE-|||0"
Many syndromes such as Down Syndrome and Taylor Syndrome can be prevented to happen if the mother undergo proper medication and do n't consume harmful goods during the pregnancy period .,"Many syndromes , such as Down Syndrome and Taylor , Syndrome can from happening to happen if takes mother undergo proper does not do n't consume substances goods during the pregnancy period .","A 2 2|||Mec|||,|||REQUIRED|||-NONE-|||0; A 9 9|||Mec|||,|||REQUIRED|||-NONE-|||0; A 12 13|||Prep|||from|||REQUIRED|||-NONE-|||0; A 13 14|||Vform|||happening|||REQUIRED|||-NONE-|||0; A 17 18|||Wci|||takes|||REQUIRED|||-NONE-|||0; A 21 23|||SVA|||does not|||REQUIRED|||-NONE-|||0; A 25 26|||Wci|||substances|||REQUIRED|||-NONE-|||0"
This information may not be known by the mother if she does n't tell her relatives regarding her condition .,This information may not be known by the mother if she does not tell her relatives about her condition .,A 12 13|||Wtone|||not|||REQUIRED|||-NONE-|||0; A 16 17|||Wci|||about|||REQUIRED|||-NONE-|||0
"More people ( relatives ) know her problem , more information channel is provided .",The more people ( relatives ) know about her problem the advice information can be is provided .,A 0 1|||ArtOrDet|||The more|||REQUIRED|||-NONE-|||0; A 6 6|||Prep|||about|||REQUIRED|||-NONE-|||0; A 9 9|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 10 11|||Wci|||advice|||REQUIRED|||-NONE-|||0; A 11 12|||Rloc-||||||REQUIRED|||-NONE-|||0; A 12 13|||Vm|||can be|||REQUIRED|||-NONE-|||0
If all efforts have been made but the children still suffer from the syndrome then the family have to accept this fact and do whatever they can to bring a good environment for their children 's growth .,If all efforts have been made but the children still inherit the syndrome then the family have will to accept this fact and do whatever they can to provide a good environment for their children 's development .,A 10 11|||Wci|||inherit|||REQUIRED|||-NONE-|||0; A 11 12|||Prep||||||REQUIRED|||-NONE-|||0; A 17 17|||Vm|||will|||REQUIRED|||-NONE-|||0; A 28 29|||Wci|||provide|||REQUIRED|||-NONE-|||0; A 36 37|||Wci|||development|||REQUIRED|||-NONE-|||0
This is not the parent 's fault because there is still chances of the gene being inherited .,This is not the parents ' fault because there is are chances of the gene being inherited .,A 4 6|||Npos|||parents '|||REQUIRED|||-NONE-|||0; A 9 10|||SVA|||are|||REQUIRED|||-NONE-|||0
"So , they have to also prepare mentally .","So , they have to also prepare themselves mentally .",A 7 7|||Pref|||themselves|||REQUIRED|||-NONE-|||0
"Secondly , genetic diseases costs highly for the treatment and medication .","Secondly , genetic diseases have a high cost for the and medication .",A 4 6|||Wci|||have a high cost|||REQUIRED|||-NONE-|||0; A 7 8|||ArtOrDet||||||REQUIRED|||-NONE-|||0
Albinism is one of the examples .,Albinism is one the . example,A 3 4|||Prep||||||REQUIRED|||-NONE-|||0; A 4 5|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 5 6|||Nn|||example|||REQUIRED|||-NONE-|||0
The people with albinism have sensitive skin and it needs regular treatment .,people People albinism have sensitive skin and needs which treatment .,A 0 1|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 1 2|||Mec|||People|||REQUIRED|||-NONE-|||0; A 7 8|||Rloc-||||||REQUIRED|||-NONE-|||0; A 8 9|||Pref|||which|||REQUIRED|||-NONE-|||0
"Unlike people with high proportion of skin pigment , people with albinism is prone to sunburn and other skin diseases .","Unlike people with a high proportion of skin pigment , people with are is prone to sunburn and other skin diseases .",A 3 3|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 12 13|||SVA|||are|||REQUIRED|||-NONE-|||0
"If they do n't treat their body well , such as by using sunglasses or wearing sunscreen in outdoor , the chances are good that they will get skin problems that may also lead to cancer .","If they do not treat their body well , such as by using sunglasses or wearing sunscreen outdoor outdoors the chances are good high they will get have problems that may also lead to cancer .",A 3 4|||Wtone|||not|||REQUIRED|||-NONE-|||0; A 17 18|||Prep||||||REQUIRED|||-NONE-|||0; A 18 19|||Wform|||outdoors|||REQUIRED|||-NONE-|||0; A 23 24|||Wci|||high|||REQUIRED|||-NONE-|||0; A 27 28|||Wci|||have|||REQUIRED|||-NONE-|||0
"Once you suffer from cancer , the medication cost is very expensive .","Once you suffer from cancer , the cost of medication is very expensive .",A 7 9|||WOinc|||cost of medication|||REQUIRED|||-NONE-|||0
"To prevent the bigger problem to happen , it takes a lot of effort to take care of your body .",To prevent bigger problem problems from happening it takes a lot of effort to take care of your body .,A 2 3|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 4 5|||Nn|||problems|||REQUIRED|||-NONE-|||0; A 5 6|||Prep|||from|||REQUIRED|||-NONE-|||0; A 6 7|||Vform|||happening|||REQUIRED|||-NONE-|||0
"If the carrier does n't tell his or her relatives , it may be too late to get their support and prepare financially .","If the carrier does not tell their relatives , it may be too late to get their support and prepare financially .",A 4 5|||Wtone|||not|||REQUIRED|||-NONE-|||0; A 6 9|||Pref|||their|||REQUIRED|||-NONE-|||0
"Thirdly , some diseases are not noticeable and may lead to serious health problems .","Thirdly , some diseases are not noticeable and may lead to serious health problems .",NONE
One of the diseases is sickle cell trait .,One of these diseases is sickle cell trait .,A 2 3|||ArtOrDet|||these|||REQUIRED|||-NONE-|||0
Usually people are not aware if they carry the sickle cell gene and this may lead to circulatory problem such as blood blocking .,Usually people are not aware that they carry the sickle cell gene and this may lead to circulatory problems such as blood blocking .,A 5 6|||Trans|||that|||REQUIRED|||-NONE-|||0; A 18 19|||Nn|||problems|||REQUIRED|||-NONE-|||0
If the parents know that one of them is a carrier and disclose the information to their relatives then they can bring their children to undergo genetic testing and do n't need to be shy of it because it is for the sake of their children 's health .,If the parents know that one of them is a carrier and disclose the information to their relatives then they can take their children to undergo genetic testing and do not need to be wary of it because it is for the sake of their children 's health .,A 21 22|||Wci|||take|||REQUIRED|||-NONE-|||0; A 30 31|||Wtone|||not|||REQUIRED|||-NONE-|||0; A 34 35|||Wci|||wary|||REQUIRED|||-NONE-|||0
"Fourthly , it is important for the parents to give mental boost for their children with genetic disorder .","Fourthly , it is important for the parents to give a mental to for their children the with genetic disorder .",A 10 10|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 12 13|||Prep|||to|||REQUIRED|||-NONE-|||0; A 16 16|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0
"When their children become teenagers , a lot of social problems may arise .","When their children become teenagers , a lot of social problems may arise .",NONE
People and friends often mock of your conditions .,People and friends often mock your conditions .,A 5 6|||Prep||||||REQUIRED|||-NONE-|||0
A strong mental condition and conviction must be build from within and from the closest ones .,A strong mental condition and conviction must be built from within and from their closest relatives .,A 8 9|||Vform|||built|||REQUIRED|||-NONE-|||0; A 13 14|||Pref|||their|||REQUIRED|||-NONE-|||0; A 15 16|||Wci|||relatives|||REQUIRED|||-NONE-|||0
If not their family then who else that are willing to do that ?,If not their family who else that willing would be do that ?,A 4 5|||Rloc-||||||REQUIRED|||-NONE-|||0; A 7 8|||Rloc-||||||REQUIRED|||-NONE-|||0; A 8 9|||Vm|||would be|||REQUIRED|||-NONE-|||0
