source,target,annotation
"However , hospital can provide a councilor to advice the carrier about the action can be taken .","However , hospitals could provide a councilor to advise the carrier about the actions which could be taken .",A 2 3|||Nn|||hospitals|||REQUIRED|||-NONE-|||0; A 3 4|||Vt|||could|||REQUIRED|||-NONE-|||0; A 8 9|||Vform|||advise|||REQUIRED|||-NONE-|||0; A 13 14|||Ssub|||actions which|||REQUIRED|||-NONE-|||0; A 14 15|||Vt|||could|||REQUIRED|||-NONE-|||0
"Therefore , this kind of circumstances will not be happened again and again .","Therefore , these kinds of circumstances will not be happening again and again .",A 2 3|||ArtOrDet|||these|||REQUIRED|||-NONE-|||0; A 3 4|||Nn|||kinds|||REQUIRED|||-NONE-|||0; A 9 10|||Vform|||happening|||REQUIRED|||-NONE-|||0
It is a method that benefits two parties which is a win-win situation .,It is a method that benefits both parties is and a win-win situation .,A 6 7|||Wci|||both|||REQUIRED|||-NONE-|||0; A 8 9|||Rloc-||||||REQUIRED|||-NONE-|||0; A 9 9|||Trans|||and|||REQUIRED|||-NONE-|||0
"In conclusion , a carrier of a known genetic risk is encouraged to tell his or her relatives about the known genetic risk .","In conclusion , a carrier of a known genetic risk is encouraged to tell their relatives about the known genetic risk .",A 14 17|||Pform|||their|||REQUIRED|||-NONE-|||0
"However , there may be some special case that is hard to be defined .","However , there may be some special cases which are hard to define .",A 7 8|||Nn|||cases|||REQUIRED|||-NONE-|||0; A 8 9|||Ssub|||which|||REQUIRED|||-NONE-|||0; A 9 10|||SVA|||are|||REQUIRED|||-NONE-|||0; A 12 14|||Vform|||define|||REQUIRED|||-NONE-|||0
"Thus , advice from hospital plays the important role for this .","Thus , advice from hospitals plays the important role for this .",A 4 5|||Nn|||hospitals|||REQUIRED|||-NONE-|||0
Carrier is responsible to balance his or her own interest and the benefits of family and even society .,The carrier is responsible for balancing their own interest and interests of with interests and their even society .,A 0 1|||ArtOrDet|||The carrier|||REQUIRED|||-NONE-|||0; A 3 4|||Prep|||for|||REQUIRED|||-NONE-|||0; A 4 5|||Vform|||balancing|||REQUIRED|||-NONE-|||0; A 5 8|||Pform|||their|||REQUIRED|||-NONE-|||0; A 9 10|||Nn|||interests|||REQUIRED|||-NONE-|||0; A 10 11|||Trans||||||REQUIRED|||-NONE-|||0; A 11 11|||Prep|||with|||REQUIRED|||-NONE-|||0; A 12 13|||Wci|||interests|||REQUIRED|||-NONE-|||0; A 14 14|||ArtOrDet|||their|||REQUIRED|||-NONE-|||0
"It is a hard decision to make but with the most appropriate way , it will create great circumstances for the carrier and families in the future .","It is a hard decision to make but in with the most appropriate way , it will favourable great circumstances for the carrier their family families in the future .",A 8 8|||V0|||if done|||REQUIRED|||-NONE-|||0; A 8 9|||Prep|||in|||REQUIRED|||-NONE-|||0; A 17 18|||Wci|||favourable|||REQUIRED|||-NONE-|||0; A 23 24|||ArtOrDet|||their family|||REQUIRED|||-NONE-|||0
"With the risk of being genetically disorder , many individuals have done the decision to undergo genetic testing .","With the risk of having a genetic disorder , many individuals have made the decision to undergo genetic testing .",A 4 5|||Wci|||having|||REQUIRED|||-NONE-|||0; A 5 6|||Wform|||a genetic|||REQUIRED|||-NONE-|||0; A 11 12|||Wci|||made|||REQUIRED|||-NONE-|||0
"With the nature that the results will be known once the tests are done , each individual that is diagnosed to be a genetic risk carrier face an ethical problem : They should warn their relatives about the risking of being the same genetic risk carrier .","Due to the fact that the results will be known once the tests are done , each individual who is diagnosed to be a genetic risk carrier faces an ethical problem : Should they warn their relatives about the risking risks being the a risk carrier .",A 0 1|||Trans|||Due to|||REQUIRED|||-NONE-|||0; A 2 3|||Wci|||fact|||REQUIRED|||-NONE-|||0; A 17 18|||Ssub|||who|||REQUIRED|||-NONE-|||0; A 26 27|||SVA|||faces|||REQUIRED|||-NONE-|||0; A 31 33|||WOinc|||Should they|||REQUIRED|||-NONE-|||0; A 38 39|||Wform|||risks|||REQUIRED|||-NONE-|||0; A 41 42|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 42 43|||Rloc-||||||REQUIRED|||-NONE-|||0
Or they can choose to keep silent until the next carrier is diagnosed .,Or can they choose to keep silent until the next carrier is diagnosed .,A 1 3|||WOinc|||can they|||REQUIRED|||-NONE-|||0
"In the view of my point , a carrier of a known genetic risk should not be obligated to tell his or her relatives , with the support of the following reasons .","In my opinion , a carrier of a known genetic risk should not be obligated to tell his obliged her relatives their support of the following reasons .",A 1 6|||Wci|||my opinion|||REQUIRED|||-NONE-|||0; A 17 18|||Wci|||obliged|||REQUIRED|||-NONE-|||0; A 20 23|||Pform|||their|||REQUIRED|||-NONE-|||0
"First of all , from the angle of human right , a genetic risk carrier should not be obligated to tell the truth to others .","First of all , from the angle of human rights , a genetic risk carrier should not be obliged to tell the truth to others .",A 9 10|||Nn|||rights|||REQUIRED|||-NONE-|||0; A 18 19|||Wci|||obliged|||REQUIRED|||-NONE-|||0
This diagnosis can be regarded as a kind of privacy to carriers .,The diagnosis can be regarded as a matter of privacy to carriers .,A 0 1|||ArtOrDet|||The|||REQUIRED|||-NONE-|||0; A 7 8|||Wci|||matter|||REQUIRED|||-NONE-|||0
They may do not want this truth to influence their life or want to keep it as a secret and do not others know about it .,"They may not want this the diagnosis influence their life lives and therefore , may to keep it a secret and do others know let about it .","A 2 3|||Rloc-||||||REQUIRED|||-NONE-|||0; A 5 6|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 6 7|||Wci|||diagnosis|||REQUIRED|||-NONE-|||0; A 10 11|||Nn|||lives|||REQUIRED|||-NONE-|||0; A 11 12|||Trans|||and therefore ,|||REQUIRED|||-NONE-|||0; A 12 12|||V0|||may|||REQUIRED|||-NONE-|||0; A 16 17|||Rloc-||||||REQUIRED|||-NONE-|||0; A 20 21|||Rloc-||||||REQUIRED|||-NONE-|||0; A 22 22|||V0|||let|||REQUIRED|||-NONE-|||0"
This is reasonable since the exposure of the truth of being a carrier may make them be discriminated or sympothized by others which is not positive factors brought to their life .,This is reasonable since exposure exposing truth of being about carrier may make them result in being or against sympathy sympothized by These are which is not bring into factors lives to their life .,A 4 5|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 5 6|||Vform|||exposing|||REQUIRED|||-NONE-|||0; A 6 7|||Prep||||||REQUIRED|||-NONE-|||0; A 9 10|||Prep|||about|||REQUIRED|||-NONE-|||0; A 14 15|||Wci|||result|||REQUIRED|||-NONE-|||0; A 15 15|||Prep|||in|||REQUIRED|||-NONE-|||0; A 16 17|||Vform|||being|||REQUIRED|||-NONE-|||0; A 18 18|||Prep|||against|||REQUIRED|||-NONE-|||0; A 19 19|||V0|||being given|||REQUIRED|||-NONE-|||0; A 19 20|||Wform|||sympathy|||REQUIRED|||-NONE-|||0; A 22 22|||Srun|||.|||REQUIRED|||-NONE-|||0; A 22 23|||Pform|||These|||REQUIRED|||-NONE-|||0; A 23 24|||SVA|||are|||REQUIRED|||-NONE-|||0; A 27 27|||Prep|||to|||REQUIRED|||-NONE-|||0; A 27 28|||Vform|||bring|||REQUIRED|||-NONE-|||0; A 28 29|||Prep|||into|||REQUIRED|||-NONE-|||0; A 30 31|||Nn|||lives|||REQUIRED|||-NONE-|||0
"Seconly , the relatives of the carrier can also choose to do genetic testing regardless of the dignosis of the carrier .","secondly , the relatives of the carrier can also choose to undergo genetic testing regardless of the diagnosis of the carrier .",A 0 1|||Mec|||secondly|||REQUIRED|||-NONE-|||0; A 11 12|||Wci|||undergo|||REQUIRED|||-NONE-|||0; A 17 18|||Mec|||diagnosis|||REQUIRED|||-NONE-|||0
"When people want to check whether they are genetic risk carriers , they can go and approach a doctor to consult about it .","If people want to check whether they are genetic risk carriers , they can go and approach a doctor consult it .",A 0 1|||Trans|||If|||REQUIRED|||-NONE-|||0; A 16 16|||WOinc|||consult|||REQUIRED|||-NONE-|||0; A 16 17|||Rloc-||||||REQUIRED|||-NONE-|||0; A 19 20|||Prep||||||REQUIRED|||-NONE-|||0; A 20 21|||WOinc||||||REQUIRED|||-NONE-|||0
"If they do not want to think too much of it and view it as a trouble , they may just ignore the possibility .","If they do not want to think of it about view too much it as a , they may just can the possibility .",A 7 9|||WOinc||||||REQUIRED|||-NONE-|||0; A 9 10|||Prep|||about|||REQUIRED|||-NONE-|||0; A 11 11|||WOinc|||too much|||REQUIRED|||-NONE-|||0; A 15 16|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 19 20|||Vm|||can|||REQUIRED|||-NONE-|||0
"However , if a dignosed carrier is obligated to tell his or her relatives , the relatives will be forced to know their higher chance of being genetic risk carriers .","However , if a diagnosed carrier is obliged to tell their relatives , the relatives will be forced have been know into knowing chance increased being genetic risk carriers .",A 4 5|||Rloc-|||diagnosed|||REQUIRED|||-NONE-|||0; A 7 8|||Wci|||obliged|||REQUIRED|||-NONE-|||0; A 10 13|||Pform|||their|||REQUIRED|||-NONE-|||0; A 18 19|||Vform|||have been|||REQUIRED|||-NONE-|||0; A 20 21|||Prep|||into|||REQUIRED|||-NONE-|||0; A 21 22|||Vform|||knowing|||REQUIRED|||-NONE-|||0; A 23 24|||Wci|||increased|||REQUIRED|||-NONE-|||0
This obeys their own willingness as in they have to accept the truth which may make their following life miserable .,This explains their willingness unwillingness in have to accept the truth which may make their following life future lives,A 1 2|||Wci|||explains|||REQUIRED|||-NONE-|||0; A 3 4|||Rloc-||||||REQUIRED|||-NONE-|||0; A 4 5|||Wci|||unwillingness|||REQUIRED|||-NONE-|||0; A 6 7|||Prep||||||REQUIRED|||-NONE-|||0; A 17 18|||Wci|||future|||REQUIRED|||-NONE-|||0; A 18 19|||Nn|||lives|||REQUIRED|||-NONE-|||0
"Many people many argue that setting the obligation may help more people , who are the relatives of the carriers , save their lives with a larger opportunity because of the early diagnosis .","Many people argue that setting making it an may help more relatives of the carriers , save their lives with a opportunity to because of early because of diagnosis . for",A 2 3|||Rloc-||||||REQUIRED|||-NONE-|||0; A 5 6|||Wci|||making it|||REQUIRED|||-NONE-|||0; A 6 7|||ArtOrDet|||an|||REQUIRED|||-NONE-|||0; A 10 15|||Rloc-||||||REQUIRED|||-NONE-|||0; A 20 21|||Srun||||||REQUIRED|||-NONE-|||0; A 21 21|||Prep|||to|||REQUIRED|||-NONE-|||0; A 24 25|||Prep||||||REQUIRED|||-NONE-|||0; A 25 25|||WOinc|||because of|||REQUIRED|||-NONE-|||0; A 28 30|||WOinc||||||REQUIRED|||-NONE-|||0; A 30 31|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 31 31|||Prep|||for|||REQUIRED|||-NONE-|||0
"However , this is not exactly true when other factors including psychological influence , social influence , are taken into consideration .","However , this is not exactly true when other factors , including psychological , and social influence , are taken into consideration .","A 10 10|||Srun|||,|||REQUIRED|||-NONE-|||0; A 13 14|||Srun||||||REQUIRED|||-NONE-|||0; A 14 14|||Trans|||and|||REQUIRED|||-NONE-|||0"
"If one such relative is told that he or she may have higher risk of getting sick , he or she may have be scared about the unknown life , partners , spouse and colleagues may choose to leave , and many other situations may happen which means the relative 's life may be ruined .","If a relative is told that he they have higher risk of a chance sick , he or they be scared about unknown life , partners their spouse and ; their may choose to leave , and many other situations may happen which means the occur 's result in life may be . being",A 1 2|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 2 3|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 7 10|||Pform|||they|||REQUIRED|||-NONE-|||0; A 12 12|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 13 14|||Wci|||chance|||REQUIRED|||-NONE-|||0; A 18 21|||Pform|||they|||REQUIRED|||-NONE-|||0; A 22 23|||Rloc-||||||REQUIRED|||-NONE-|||0; A 26 27|||ArtOrDet|||their|||REQUIRED|||-NONE-|||0; A 29 30|||Mec|||;|||REQUIRED|||-NONE-|||0; A 30 30|||ArtOrDet|||their|||REQUIRED|||-NONE-|||0; A 45 46|||Wci|||occur|||REQUIRED|||-NONE-|||0; A 47 47|||V0|||would|||REQUIRED|||-NONE-|||0; A 47 48|||Wci|||result|||REQUIRED|||-NONE-|||0; A 48 48|||Prep|||in|||REQUIRED|||-NONE-|||0; A 52 53|||Rloc-||||||REQUIRED|||-NONE-|||0; A 53 54|||Vform|||being|||REQUIRED|||-NONE-|||0
"On the other side , as stated above , a person who want to confirm and has been prepared to face the result can choose to do the genetic testing individually .","On the other hand , as stated above , a person who wants to confirm and is prepared to face the result can choose to do undergo genetic testing individually .",A 3 4|||Wci|||hand|||REQUIRED|||-NONE-|||0; A 12 13|||SVA|||wants|||REQUIRED|||-NONE-|||0; A 16 18|||Vform|||is|||REQUIRED|||-NONE-|||0; A 26 27|||Wci|||undergo|||REQUIRED|||-NONE-|||0
"In a nutshell , a carrier of a known genetic risk should have their own right to decide whether to tell their relatives or not .","In a nutshell , a carrier of a known genetic risk should have the right to decide whether to or not tell their relatives .",A 13 14|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 14 15|||Rloc-||||||REQUIRED|||-NONE-|||0; A 19 19|||WOinc|||or not|||REQUIRED|||-NONE-|||0; A 23 25|||WOinc||||||REQUIRED|||-NONE-|||0
"This should be accepted from the point of human right , freedom of acceptance of relatives as well as many other social reasons .","This should be accepted from the point of human rights , the freedom of acceptance of relatives as well as many other social reasons .",A 9 10|||Nn|||rights|||REQUIRED|||-NONE-|||0; A 11 11|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0
"Otherwise , making it an obligation will restric the choice of carriers and bring a lot of confusion to their relatives .","Otherwise , making it an obligation would restrict the choices of the carriers and bring a lot of upon to their relatives .",A 6 7|||Vt|||would|||REQUIRED|||-NONE-|||0; A 7 8|||Mec|||restrict|||REQUIRED|||-NONE-|||0; A 9 10|||Nn|||choices|||REQUIRED|||-NONE-|||0; A 11 11|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 18 19|||Prep|||upon|||REQUIRED|||-NONE-|||0
"For a carrier of genetic disorder to know the fact that he or she is a carrier , it causes more dilemma rather than getting the disorder .",For the carrier of a genetic disorder find out fact that he they a carrier are it causes rather than getting the a disorder .,A 1 2|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 4 4|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 7 10|||Wci|||find out|||REQUIRED|||-NONE-|||0; A 11 14|||Pform|||they|||REQUIRED|||-NONE-|||0; A 14 15|||SVA|||are|||REQUIRED|||-NONE-|||0; A 17 19|||Rloc-||||||REQUIRED|||-NONE-|||0; A 21 21|||Prep|||of|||REQUIRED|||-NONE-|||0; A 21 21|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 22 23|||Rloc-||||||REQUIRED|||-NONE-|||0
I agree that a carrier of a known genetic risk is obligated to tell his or her relatives .,I agree that a carrier of a known genetic risk is obliged to tell their relatives .,A 11 12|||Wci|||obliged|||REQUIRED|||-NONE-|||0; A 14 17|||Pform|||their|||REQUIRED|||-NONE-|||0
There are four reasons why people do n't have to be shy and share their problems regarding genetic disorder .,There are four reasons why people do n't have to be shy and should share their problems regarding disorders disorder .,A 13 13|||V0|||should|||REQUIRED|||-NONE-|||0; A 18 19|||Nn|||disorders|||REQUIRED|||-NONE-|||0
"Firstly , the carrier and his or her family can take precautions , physically by actions to reduce the chance of it being inherited to offspring and , mentally if the action fails to prevent it being inherited .","Firstly , the carrier and their family can take precautions , physically by actions to taking reduce the chance of it being inherited to by any , and mentally if the those actions fail prevent it being from inherited .","A 5 8|||Pform|||their|||REQUIRED|||-NONE-|||0; A 15 15|||V0|||taking|||REQUIRED|||-NONE-|||0; A 24 25|||Prep|||by|||REQUIRED|||-NONE-|||0; A 25 25|||ArtOrDet|||any|||REQUIRED|||-NONE-|||0; A 26 28|||Mec|||, and|||REQUIRED|||-NONE-|||0; A 30 31|||ArtOrDet|||those|||REQUIRED|||-NONE-|||0; A 31 32|||Nn|||actions|||REQUIRED|||-NONE-|||0; A 32 33|||SVA|||fail|||REQUIRED|||-NONE-|||0; A 36 36|||Prep|||from|||REQUIRED|||-NONE-|||0"
Many syndromes such as Down Syndrome and Taylor Syndrome can be prevented to happen if the mother undergo proper medication and do n't consume harmful goods during the pregnancy period .,Many syndromes such as Down Syndrome and Taylor Syndrome can be prevented from happening if the mother takes the proper medication does not n't consume harmful goods during the pregnancy period .,A 12 13|||Prep|||from|||REQUIRED|||-NONE-|||0; A 13 14|||Vform|||happening|||REQUIRED|||-NONE-|||0; A 17 18|||Wci|||takes|||REQUIRED|||-NONE-|||0; A 18 18|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 21 23|||SVA|||does not|||REQUIRED|||-NONE-|||0
This information may not be known by the mother if she does n't tell her relatives regarding her condition .,This information may not be known by the mother if she does n't tell her relatives about her condition .,A 16 17|||Prep|||about|||REQUIRED|||-NONE-|||0
"More people ( relatives ) know her problem , more information channel is provided .","If more people ( relatives ) who know her problem then , information can be is provided .",A 0 1|||Trans|||If more|||REQUIRED|||-NONE-|||0; A 5 5|||Ssub|||who|||REQUIRED|||-NONE-|||0; A 9 9|||Trans|||then|||REQUIRED|||-NONE-|||0; A 11 12|||Rloc-||||||REQUIRED|||-NONE-|||0; A 12 13|||Vform|||can be|||REQUIRED|||-NONE-|||0
If all efforts have been made but the children still suffer from the syndrome then the family have to accept this fact and do whatever they can to bring a good environment for their children 's growth .,If every effort has been made and the children still suffer from the syndrome then the family has to accept this fact and do whatever they can to create a good environment for their children 's development .,A 1 2|||ArtOrDet|||every|||REQUIRED|||-NONE-|||0; A 2 3|||Nn|||effort|||REQUIRED|||-NONE-|||0; A 3 4|||SVA|||has|||REQUIRED|||-NONE-|||0; A 6 7|||Trans|||and|||REQUIRED|||-NONE-|||0; A 17 18|||SVA|||has|||REQUIRED|||-NONE-|||0; A 28 29|||Wci|||create|||REQUIRED|||-NONE-|||0; A 36 37|||Wci|||development|||REQUIRED|||-NONE-|||0
This is not the parent 's fault because there is still chances of the gene being inherited .,This is not the parent 's fault because there are still a chance of the gene being inherited .,A 9 10|||SVA|||are|||REQUIRED|||-NONE-|||0; A 11 12|||ArtOrDet|||a chance|||REQUIRED|||-NONE-|||0
"So , they have to also prepare mentally .","So , they have to also prepare mentally .",NONE
"Secondly , genetic diseases costs highly for the treatment and medication .","Secondly , the treatment and medication for genetic cost a lot medication .",A 2 2|||WOinc|||the treatment and medication for|||REQUIRED|||-NONE-|||0; A 4 5|||SVA|||cost|||REQUIRED|||-NONE-|||0; A 5 6|||Wci|||a lot|||REQUIRED|||-NONE-|||0; A 6 11|||WOinc||||||REQUIRED|||-NONE-|||0
Albinism is one of the examples .,Albinism is one of the examples .,NONE
The people with albinism have sensitive skin and it needs regular treatment .,people People albinism have sensitive skin and needs regular treatment .,A 0 1|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 1 2|||Mec|||People|||REQUIRED|||-NONE-|||0; A 7 7|||Ssub|||which|||REQUIRED|||-NONE-|||0; A 7 9|||Rloc-||||||REQUIRED|||-NONE-|||0
"Unlike people with high proportion of skin pigment , people with albinism is prone to sunburn and other skin diseases .","Unlike people with a higher proportion of skin pigment , people with albinism are prone to sunburn and other skin diseases .",A 3 4|||ArtOrDet|||a higher|||REQUIRED|||-NONE-|||0; A 12 13|||SVA|||are|||REQUIRED|||-NONE-|||0
"If they do n't treat their body well , such as by using sunglasses or wearing sunscreen in outdoor , the chances are good that they will get skin problems that may also lead to cancer .","If they do n't treat their bodies well , by using sunglasses or wearing sunscreen in outdoor the outdoors are there are high chances get skin problems that may also lead to cancer which",A 6 7|||Nn|||bodies|||REQUIRED|||-NONE-|||0; A 9 11|||Rloc-||||||REQUIRED|||-NONE-|||0; A 17 18|||Prep||||||REQUIRED|||-NONE-|||0; A 18 19|||Mec|||outdoors|||REQUIRED|||-NONE-|||0; A 20 24|||Wci|||there are high chances|||REQUIRED|||-NONE-|||0; A 30 31|||Ssub|||which|||REQUIRED|||-NONE-|||0
"Once you suffer from cancer , the medication cost is very expensive .","Once you are diagnosed with cancer , the medication costs are very expensive .",A 2 3|||Wci|||are diagnosed|||REQUIRED|||-NONE-|||0; A 3 4|||Prep|||with|||REQUIRED|||-NONE-|||0; A 8 9|||Nn|||costs|||REQUIRED|||-NONE-|||0; A 9 10|||SVA|||are|||REQUIRED|||-NONE-|||0
"To prevent the bigger problem to happen , it takes a lot of effort to take care of your body .","To prevent this bigger problem from happening , it takes a lot of effort to look after your body .",A 2 3|||ArtOrDet|||this|||REQUIRED|||-NONE-|||0; A 5 6|||Prep|||from|||REQUIRED|||-NONE-|||0; A 6 7|||Vform|||happening|||REQUIRED|||-NONE-|||0; A 15 18|||Wci|||look after|||REQUIRED|||-NONE-|||0
"If the carrier does n't tell his or her relatives , it may be too late to get their support and prepare financially .","If the carrier does n't tell their relatives , it may be too late to get their support and prepare financially .",A 6 9|||Pform|||their|||REQUIRED|||-NONE-|||0
"Thirdly , some diseases are not noticeable and may lead to serious health problems .","Thirdly , some diseases are not noticeable and may lead to serious health problems .",NONE
One of the diseases is sickle cell trait .,One of these diseases is sickle cell trait .,A 2 3|||ArtOrDet|||these|||REQUIRED|||-NONE-|||0
Usually people are not aware if they carry the sickle cell gene and this may lead to circulatory problem such as blood blocking .,Usually people are not aware that they carry the sickle cell gene and this may lead to circulatory problems such as blood clotting .,A 5 6|||Ssub|||that|||REQUIRED|||-NONE-|||0; A 18 19|||Nn|||problems|||REQUIRED|||-NONE-|||0; A 22 23|||Wci|||clotting|||REQUIRED|||-NONE-|||0
If the parents know that one of them is a carrier and disclose the information to their relatives then they can bring their children to undergo genetic testing and do n't need to be shy of it because it is for the sake of their children 's health .,If the parents know that one of them is a carrier and discloses the information to their relatives then they can take their children to undergo genetic testing and They do not need to be shy of it because it is for the sake of their children 's health .,A 12 13|||SVA|||discloses|||REQUIRED|||-NONE-|||0; A 21 22|||Wci|||take|||REQUIRED|||-NONE-|||0; A 28 28|||Srun|||.|||REQUIRED|||-NONE-|||0; A 28 29|||Trans||||||REQUIRED|||-NONE-|||0; A 29 31|||Pform|||They do not|||REQUIRED|||-NONE-|||0
"Fourthly , it is important for the parents to give mental boost for their children with genetic disorder .","Fourthly , it is important for parents to give mental a children with a genetic disorder for children",A 6 7|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 10 10|||WOinc|||children with a genetic disorder|||REQUIRED|||-NONE-|||0; A 10 10|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 12 13|||Prep||||||REQUIRED|||-NONE-|||0; A 13 14|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 14 18|||WOinc||||||REQUIRED|||-NONE-|||0
"When their children become teenagers , a lot of social problems may arise .","When their children become teenagers , a lot of social problems may arise .",NONE
People and friends often mock of your conditions .,People and friends may often of their conditions .,A 3 3|||V0|||may|||REQUIRED|||-NONE-|||0; A 5 6|||Prep||||||REQUIRED|||-NONE-|||0; A 6 7|||Pform|||their|||REQUIRED|||-NONE-|||0
A strong mental condition and conviction must be build from within and from the closest ones .,A strong mental attitude and conviction must be built from within from by their ones .,A 3 4|||Wci|||attitude|||REQUIRED|||-NONE-|||0; A 8 9|||Vform|||built|||REQUIRED|||-NONE-|||0; A 11 12|||Trans||||||REQUIRED|||-NONE-|||0; A 12 13|||Prep|||by|||REQUIRED|||-NONE-|||0; A 13 14|||ArtOrDet|||their|||REQUIRED|||-NONE-|||0
If not their family then who else that are willing to do that ?,If not their family then who else are would be to do that ?,A 7 8|||Rloc-||||||REQUIRED|||-NONE-|||0; A 8 9|||Vform|||would be|||REQUIRED|||-NONE-|||0
It is not a heavy job for the family if they have prepare their mental first by disclosing the information of the probability that their children may suffer from the genetic disorder .,It is not a difficult job for the family if they have prepared their minds first by disclosing the information the that children may suffer from the genetic disorder a,A 4 5|||Wci|||difficult|||REQUIRED|||-NONE-|||0; A 12 13|||Vform|||prepared|||REQUIRED|||-NONE-|||0; A 14 15|||Wci|||minds|||REQUIRED|||-NONE-|||0; A 20 21|||Prep||||||REQUIRED|||-NONE-|||0; A 21 22|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 22 23|||Rloc-||||||REQUIRED|||-NONE-|||0; A 29 30|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0
"In this modern world , the technologies were improved a lot compared with the last century .","In this modern world , technologies technology has a lot compared with the last century .",A 5 6|||SVA||||||REQUIRED|||-NONE-|||0; A 6 7|||Wform|||technology|||REQUIRED|||-NONE-|||0; A 7 8|||Vform|||has|||REQUIRED|||-NONE-|||0
"Particularly , in the medical field , there is a great improvement in many treatments for many formally incurable diseases , and genetic testing is one of the methods which were used to diagnose an individual at risk for a genetic disorder .","Particularly , in the medical field , there has been great improvement improvements many treatments the of for many formally incurable . and Genetic testing is one of the methods were to diagnose an individual at risk for a from disorder .",A 8 9|||Vform|||has been|||REQUIRED|||-NONE-|||0; A 9 10|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 11 12|||Nn|||improvements|||REQUIRED|||-NONE-|||0; A 14 14|||Prep|||of|||REQUIRED|||-NONE-|||0; A 14 14|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 20 21|||Srun|||.|||REQUIRED|||-NONE-|||0; A 21 22|||Trans||||||REQUIRED|||-NONE-|||0; A 22 23|||Mec|||Genetic|||REQUIRED|||-NONE-|||0; A 29 30|||Rloc-||||||REQUIRED|||-NONE-|||0; A 30 31|||Rloc-||||||REQUIRED|||-NONE-|||0; A 38 39|||Prep|||from|||REQUIRED|||-NONE-|||0
The medical authorities claimed that only the individual who is at risk for a genetic disorder can make the decision to undergo genetic testing .,The medical authorities claim that only the individual who is at risk from a genetic disorder can make the decision to undergo genetic testing .,A 3 4|||Vt|||claim|||REQUIRED|||-NONE-|||0; A 12 13|||Prep|||from|||REQUIRED|||-NONE-|||0
"However , once a test has been conducted and the results are known , a family-related ethical dilemma is born .","However , once a test has been conducted and the results are known , a family-related ethical dilemma is born .",NONE
The question is whether a carrier of a known genetic risk should tell his or her relatives .,The question is whether the carrier of a known genetic risk should tell their relatives .,A 4 5|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 13 16|||Pform|||their|||REQUIRED|||-NONE-|||0
"In my opinion , the carrier of a known genetic risk has to tell his or her relatives about this .","In my opinion , the carrier of a known genetic risk has to tell their relatives about this . it",A 14 17|||Pform|||their|||REQUIRED|||-NONE-|||0; A 19 20|||Pform|||it|||REQUIRED|||-NONE-|||0
This is because his or her relatives have the right to know about this .,This is because their relatives have the right to know about this,A 3 6|||Pform|||their|||REQUIRED|||-NONE-|||0; A 12 13|||Prep||||||REQUIRED|||-NONE-|||0; A 13 14|||Pform||||||REQUIRED|||-NONE-|||0
"As many people realize , a genetic disorder can be related to the carrier 's relatives , that is , one of the family members is at risk for a genetic disorder means that other family members also have almost the equally risk to have it , so this problem should be treated seriously by the family .","As many people realize , a genetic disorder can affect to carrier 's relatives , that is , one of if the family members is at risk for from genetic disorder means it that the other family members also have almost the equally risk to have it , so this problem should be treated seriously by the family .",A 9 11|||Wci|||affect|||REQUIRED|||-NONE-|||0; A 11 12|||Prep||||||REQUIRED|||-NONE-|||0; A 20 20|||Trans|||if|||REQUIRED|||-NONE-|||0; A 28 29|||Prep|||from|||REQUIRED|||-NONE-|||0; A 32 32|||Pform|||it|||REQUIRED|||-NONE-|||0; A 34 34|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0
Every family member has their human right to know what is going on with them .,It is every family members their right to know what is going on with them .,A 0 1|||V0|||It is every|||REQUIRED|||-NONE-|||0; A 2 3|||Nn|||members|||REQUIRED|||-NONE-|||0; A 3 4|||Rloc-||||||REQUIRED|||-NONE-|||0; A 4 5|||ArtOrDet||||||REQUIRED|||-NONE-|||0
