Before Statements,After Statements,Error Correction,Generated Statements
"If one has a genetic disease after the test, he or she might not wish to inform the relatives as he might ended up dishearten his extended family.","If one has a genetic disease after the test, he or she might not wish to inform the relatives as he might end up disheartening his extended family.","[{'idx_src': [23], 'idx_tgt': [23], 'corr_type': 'Vt'}, {'idx_src': [25], 'idx_tgt': [25], 'corr_type': 'Vform'}]","If one has a genetic disease after the test, he or she might not wish to inform the relatives, as he or she might end up disappointing his or her extended family."
Some will wish to keep it to themselves and hope to ensure that they will not bring in any pessimism into their family.,Some will wish to keep it to themselves and hope to ensure that they will not bring in any pessimism into their family.,[],Some may wish to keep it to themselves and hope to avoid bringing any pessimism into their family.
"Furthermore, some will wish not to become a burden of anyone as seeking medical attention is relatively costly.","Furthermore, some will wish not to become a burden to anyone as seeking medical attention is relatively costly.","[{'idx_src': [10], 'idx_tgt': [10], 'corr_type': 'Prep'}]","Furthermore, some individuals may wish not to become a burden on anyone, as seeking medical attention can be relatively costly."
"Hence, some seen it as being considerate in keeping the genetic risk of getting the disease in confidential.","Hence, some see it as being considerate in keeping the genetic risk of getting the disease confidential.","[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Vt'}, {'idx_src': [17], 'idx_tgt': [], 'corr_type': 'Prep'}]","Hence, some see it as being considerate in keeping the genetic risk of getting the disease confidential."
"On the other hand, others may think that it will be considerate to tell the relatives because the latter will have a higher tendency of getting the same genetic risk.","On the other hand, others may think that it is considerate to tell the relatives because the latter will have a higher tendency of getting the same genetic risk.","[{'idx_src': [10, 11], 'idx_tgt': [10], 'corr_type': 'Vt'}]","On the other hand, others may think that it will be considerate to tell the relatives because the latter will have a higher tendency to get the same genetic risk."
"Hence, they will be able to seek help from medical specialists to find a cure or to do some measures to prevent the risk of getting the disease.","Hence, they will be able to seek help from medical specialists to find a cure or to take some measures to prevent the risk of getting the disease.","[{'idx_src': [18], 'idx_tgt': [18], 'corr_type': 'Wci'}]","Hence, they will be able to seek help from medical specialists to find a cure or take measures to prevent the risk of getting the disease."
"Nevertheless, it will depend on what kind of genetic diseases, given in the context of current medical technology.","Nevertheless, it depends on what kind of genetic diseases, are present in the context of current medical technology.","[{'idx_src': [3, 4], 'idx_tgt': [3], 'corr_type': 'Vt'}, {'idx_src': [12], 'idx_tgt': [11, 12], 'corr_type': 'Wci'}]","Nevertheless, it will depend on the type of genetic disease, given in the context of current medical technology."
"For example, breast cancer is a genetic disease and it can be cured if it is being realised in the early stage.","For example, breast cancer is a genetic disease and it can be cured if it is discovered in the early stages.","[{'idx_src': [17], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [18], 'idx_tgt': [17], 'corr_type': 'Wci'}, {'idx_src': [22], 'idx_tgt': [21], 'corr_type': 'Nn'}]","For example, breast cancer is a genetic disease, and it can be cured if it is detected in its early stages."
"Hence, with the knowledge of having genetic risk, the relatives of this genetic disease will do a medical check-up, which might save them in realising it at a earlier stage.","Hence, with the knowledge of having genetic risk, the relatives of person with genetic disease will do a medical check-up, which might aid them in realising it at an earlier stage.","[{'idx_src': [13], 'idx_tgt': [13, 14], 'corr_type': 'Others'}, {'idx_src': [24], 'idx_tgt': [25], 'corr_type': 'Wci'}, {'idx_src': [30], 'idx_tgt': [31], 'corr_type': 'ArtOrDet'}]","Hence, with the knowledge of having a genetic risk, the relatives of individuals with this genetic disease will do a medical check-up, which might help them realize it at an earlier stage."
"In conclusion, it will be considerate to inform the risk of getting the same genetic disease to the relatives.","In conclusion, it will be considerate to inform the risk of getting the same genetic disease to the relatives.",[],"In conclusion, it would be considerate to inform the relatives of the risk of getting the same genetic disease."
"Although there might be a lot of challenges along the way in seeking medical attention, such as financial issue, everyone should be given the rights of knowing their family's inherented medical conditions.","Although there might be a lot of challenges along the way in seeking medical attention, such as financial issues, everyone should be given the right to know their family's inherited medical conditions.","[{'idx_src': [19], 'idx_tgt': [19], 'corr_type': 'Nn'}, {'idx_src': [26, 27, 28], 'idx_tgt': [26, 27, 28], 'corr_type': 'Wci'}, {'idx_src': [32], 'idx_tgt': [32], 'corr_type': 'Mec'}]","Although there may be many challenges along the way in seeking medical attention, such as financial issues, everyone should be given the right to know their family's inherited medical conditions."
"However, some think that it might be better for those who are ignorant about it and will continue leading a happy life.","However, some think that it might be better for relatives to remain ignorant about it because they will continue leading a happy life.","[{'idx_src': [10], 'idx_tgt': [10], 'corr_type': 'Pref'}, {'idx_src': [11, 12], 'idx_tgt': [11, 12], 'corr_type': 'Ssub'}, {'idx_src': [16], 'idx_tgt': [16], 'corr_type': 'Trans'}, {'idx_src': [], 'idx_tgt': [17], 'corr_type': 'Pref'}]","However, some people think that it might be better for those who are unaware of it and will continue living a happy life."
"In addition, some may think that even knowing about having genetic risk of the disease, it will just adding on to their misery as there is nothing that they can do about it.","In addition, some may think that even knowing about having genetic risk of disease, will just add to their misery as there is nothing that they can do about it.","[{'idx_src': [14], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [17], 'idx_tgt': [], 'corr_type': 'Pref'}, {'idx_src': [20], 'idx_tgt': [18], 'corr_type': 'Vform'}, {'idx_src': [21], 'idx_tgt': [], 'corr_type': 'Prep'}]","In addition, some may think that even knowing about having a genetic risk of the disease will just add to their misery, as there is nothing they can do about it."
"All-in-all, it depends on individual and also the nature of the disease, but he or she should be obligated to inform the relatives if there are possibilities in curing or preventing it.","All-in-all, it depends on individuals and also the nature of the disease, but he or she should be obligated to inform the relatives if there are possibilities in curing or preventing it.","[{'idx_src': [5], 'idx_tgt': [5], 'corr_type': 'Nn'}]","All things considered, it depends on the individual and the nature of the disease, but they should be obligated to inform their relatives if there are possibilities of curing or preventing it."
"Genectic testing is a personal decision, with the kowledge that there is a possiblity that one could be a carrier or not.",Having genetic testing can cause a difficult personal decision because a patient can be given the kowledge that there is a possiblity that he or she could be a carrier.,"[{'idx_src': [0], 'idx_tgt': [0, 1], 'corr_type': 'V0'}, {'idx_src': [2], 'idx_tgt': [3, 4], 'corr_type': 'Wci'}, {'idx_src': [], 'idx_tgt': [6], 'corr_type': 'Others'}, {'idx_src': [6], 'idx_tgt': [9, 10, 11, 12, 13, 14], 'corr_type': 'Ssub'}, {'idx_src': [7], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [16], 'idx_tgt': [23, 24, 25], 'corr_type': 'Pref'}, {'idx_src': [21, 22], 'idx_tgt': [], 'corr_type': 'Trans'}]","Genetic testing is a personal decision, with the knowledge that there is a possibility that one could be a carrier or not."
"Those who are born into a family with a history of genetic disease should be allowed to undergo genetic testing, even though if there is no risk at all.",Those who are born into a family with a history of genetic disease should be allowed to undergo genetic testing . to be sure that there is no risk at all.,"[{'idx_src': [20], 'idx_tgt': [20], 'corr_type': 'Mec'}, {'idx_src': [21, 22, 23], 'idx_tgt': [21, 22, 23, 24], 'corr_type': 'Sfrag'}]","Those who are born into a family with a history of genetic disease should be allowed to undergo genetic testing, even if there is no apparent risk at all."
Early pre-examination is healthy as it will cast away unwanted doubts and affect the psychological thoughts of those who are affected.,Early pre-examination is preferable as it will cast away unwanted doubts but will affect the psychological thoughts of those who are affected.,"[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Wci'}, {'idx_src': [11], 'idx_tgt': [11], 'corr_type': 'Trans'}, {'idx_src': [], 'idx_tgt': [12], 'corr_type': 'Vt'}]",Early examination is advisable because it will cast away unwanted doubts and affect the psychological thoughts of those who are affected.
"For a genetic risk carrier, there should be choice given with regards to informing his/her relatives.","For a genetic risk carrier, there should be choice given with regards to informing his/her relatives.",[],"For a genetic risk carrier, there should be a choice given regarding informing his or her relatives."
"There should not be forced or obligied to do so, as it may negatively and drastically affect the emotions of the genetic risk carrier.","They should not be forced or obliged to do so, as it may negatively and drastically affect the emotions of the genetic risk carrier.","[{'idx_src': [0], 'idx_tgt': [0], 'corr_type': 'Pform'}, {'idx_src': [6], 'idx_tgt': [6], 'corr_type': 'Mec'}]","There should not be forced or obligated to do so, as it may negatively and drastically affect the emotions of the genetic risk carrier."
"With regard to this choice given, there must be some rules to regulate and exercise personal freedom of decision making.","With regard to this choice given, there must be some rules to regulate and exercise personal freedom of decision making.",[],"With regard to this choice, there must be some rules to regulate and exercise personal freedom of decision-making."
"If the genetic risk carrier is a minor or a child, then most likely the decision of informing the relative should be made with the consideration of the patients parents or legal guardian.","If the genetic risk carrier is a minor, then most likely the decision of informing the relative should be made with the consideration of the patient's parents or legal guardian.","[{'idx_src': [8, 9, 10], 'idx_tgt': [], 'corr_type': 'Wci'}, {'idx_src': [29], 'idx_tgt': [26, 27], 'corr_type': 'Npos'}]","If the genetic risk carrier is a minor or a child, then it is likely that the decision to inform the relatives should be made with the consideration of the patient's parents or legal guardian."
Such patients are still emotionally volatile or they may be unaware of the consequences of such genetic disorder due to their young age.,Such patients are still emotionally volatile or they may be unaware of the consequences of such genetic disorder due to their young age.,[],"Such patients are still emotionally volatile, or they may be unaware of the consequences of such a genetic disorder due to their young age."
Furthermore the act of informing others without the consent from their parents or the patients itself could harm the psychological state of the affected family.,Furthermore the act of informing others without the consent from their parents or the patients themselves could harm the psychological state of the affected family.,"[{'idx_src': [15], 'idx_tgt': [15], 'corr_type': 'Pform'}]","Furthermore, the act of informing others without the consent of the parents or the patient itself could harm the psychological state of the affected family."
"Thus, much thought need to put on the immediate family as it could caused a stir of unwanted events from the patient or the family members itself.","Thus, much thought needs to be put into the immediate family as it could cause a stir of unwanted events from the patient or the family members.","[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'SVA'}, {'idx_src': [], 'idx_tgt': [6], 'corr_type': 'Vform'}, {'idx_src': [7], 'idx_tgt': [8], 'corr_type': 'Prep'}, {'idx_src': [14], 'idx_tgt': [15], 'corr_type': 'Vt'}, {'idx_src': [27], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}]","Thus, much thought needs to be put on the immediate family, as it could cause a stir of unwanted events from the patient or the family members themselves."
"Some family may feel hurt, with regards to their family pride or reputation, on having the knowledge of such genetic disorder running in their family.","Some families may feel hurt, with regards to their family pride or reputation, on receiving the knowledge of such a genetic disorder running in their family.","[{'idx_src': [1], 'idx_tgt': [1], 'corr_type': 'Nn'}, {'idx_src': [16], 'idx_tgt': [16], 'corr_type': 'Wci'}, {'idx_src': [], 'idx_tgt': [21], 'corr_type': 'ArtOrDet'}]","Some families may feel hurt, regarding their family pride or reputation, upon learning that a genetic disorder runs in their family."
"However, there is a role and a sense of responsibility to inform their relatives since it is a genetic disorder.","However, they have a to play and a responsibility to inform their relatives since it is a genetic disorder.","[{'idx_src': [2], 'idx_tgt': [2], 'corr_type': 'Pform'}, {'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Wci'}, {'idx_src': [5], 'idx_tgt': [5, 6], 'corr_type': 'Wci'}, {'idx_src': [8, 9], 'idx_tgt': [], 'corr_type': 'Wci'}]","However, there is a role and a sense of responsibility to inform one's relatives since it is a genetic disorder."
There might be a possibility that the genetic disorder could also affect their relatives and any other families within the same family tree.,There might be a possibility that the genetic disorder could also affect their relatives and any other members within the same family tree.,"[{'idx_src': [17], 'idx_tgt': [17], 'corr_type': 'Wci'}]",There may be a possibility that the genetic disorder could also affect their relatives and any other families within the same family tree.
The importance of informing relatives of such genetic disease is vital as it may help to raise awareness and prevention towards the genetic disorder.,The importance of informing relatives of such genetic disease is vital as it may help to raise awareness and prevent the genetic disorder.,"[{'idx_src': [19], 'idx_tgt': [19], 'corr_type': 'Wform'}, {'idx_src': [20], 'idx_tgt': [], 'corr_type': 'Prep'}]","The importance of informing relatives of such genetic diseases is vital, as it may help to raise awareness and prevent the development of the genetic disorder."
"Also, this known information will help their relatives to make informed decisions and tosimilarly undergo genetic testingto find out about the outcome.","Also, this known information will help relatives to make informed decisions and to similarly undergo genetic testing to find out about them.","[{'idx_src': [7], 'idx_tgt': [], 'corr_type': 'Pref'}, {'idx_src': [14], 'idx_tgt': [13, 14], 'corr_type': 'Mec'}, {'idx_src': [17], 'idx_tgt': [17, 18], 'corr_type': 'Mec'}, {'idx_src': [21], 'idx_tgt': [22], 'corr_type': 'ArtOrDet'}, {'idx_src': [22], 'idx_tgt': [], 'corr_type': 'Rloc-'}]","Also, this known information will help their relatives make informed decisions and undergo genetic testing to find out about the outcome."
"Thus, having the knowledge that such genetic disorder is benign would be beneficial towards their emotinal thoughts.","Thus, having the knowledge that such genetic disorder is benign would be beneficial towards their emotinal health.","[{'idx_src': [17], 'idx_tgt': [17], 'corr_type': 'Wci'}]","Thus, having the knowledge that such a genetic disorder is benign would be beneficial towards their emotional thoughts."
"And if the results turn out to be otherwise, then the family can be prepared emotionally and psychologically of the future outcome and aid them in making upcoming decisions.","And if the results turn out to be otherwise, then the family can be prepared emotionally and psychologically for the future outcome and this may aid them in making decisions in the future.","[{'idx_src': [19], 'idx_tgt': [19], 'corr_type': 'Prep'}, {'idx_src': [], 'idx_tgt': [24, 25], 'corr_type': 'Others'}, {'idx_src': [28, 29], 'idx_tgt': [30, 31, 32, 33], 'corr_type': 'Wci'}]","And if the results turn out to be otherwise, then the family can be prepared emotionally and psychologically for the future outcome and aided in making upcoming decisions."
"In addition, the genetic risk carrier would be showered with moral and emotional support from their relatives if it is been made known to them.","In addition, the genetic risk carrier would be showered with moral and emotional support from their relatives if it is has been made known to them.","[{'idx_src': [], 'idx_tgt': [21], 'corr_type': 'Vform'}]","In addition, the genetic risk carrier would be showered with moral and emotional support from their relatives if it were made known to them."
Having support from relatives are vital as they ensure the genetic risk carrier that he/she is not alone in facing this illness and it will certainly provide a morale boost as the whole family will share a common sentiment with regards towards the future prospect of the genetic disorder which could be inherited by anyone in the family.,Having support from relatives is vital as they ensure that the genetic risk carrier is not alone in facing this illness and it will certainly provide a morale boost as the whole family will share a common sentiment with regards towards the future prospect of the genetic disorder which could be inherited by anyone in the family.,"[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'SVA'}, {'idx_src': [9, 10, 11, 12, 13, 14], 'idx_tgt': [9, 10, 11, 12, 13], 'corr_type': 'Ssub'}]","Having support from relatives is vital because they ensure that the genetic risk carrier knows he or she is not alone in facing this illness, and it will certainly provide a moral boost as the whole family shares a common sentiment regarding the future prospects of the genetic disorder, which could be inherited by anyone in the family."
"Therefore, the decision to inform relatives of such genetic disorder will be dependent of the situation and backgroung of the affected family, with the liberty of choice given to them in making the decision of informing others.","Therefore, the decision to inform relatives of such genetic disorder will be dependent on the situation and background of the affected family.","[{'idx_src': [14], 'idx_tgt': [14], 'corr_type': 'Prep'}, {'idx_src': [18], 'idx_tgt': [18], 'corr_type': 'Mec'}, {'idx_src': [23], 'idx_tgt': [23], 'corr_type': 'Mec'}, {'idx_src': [24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39], 'idx_tgt': [], 'corr_type': 'Spar'}]","Therefore, the decision to inform relatives of such a genetic disorder will depend on the situation and background of the affected family, with the liberty of choice given to them in making the decision to inform others."
"A person with a disorder, regardless of mental or physical disorder, is always easy to be awared by his or her families.","A person with a disorder, regardless of whether it is a mental or physical disorder,, is happy to be cared for by his or her family.","[{'idx_src': [8, 9, 10, 11], 'idx_tgt': [8, 9, 10, 11, 12, 13, 14, 15, 16], 'corr_type': 'Wci'}, {'idx_src': [14], 'idx_tgt': [], 'corr_type': 'WOadv'}, {'idx_src': [15], 'idx_tgt': [19], 'corr_type': 'Wci'}, {'idx_src': [18], 'idx_tgt': [22, 23], 'corr_type': 'Wci'}, {'idx_src': [23], 'idx_tgt': [28], 'corr_type': 'Nn'}]","A person with a disorder, regardless of mental or physical disorder, is always easy to be aware of by his or her family."
"When things come to genetic issues, it is not that simple anymore.","When things come to genetic issues, it is not that simple anymore.",[],"When genetic issues arise, it's not that simple anymore."
"Genetic disorder inheritance is generation by generation, but not all of the offsprings show the relevant symptoms.","Genetic disorder inheritance is from generation to generation, but not all of the offspring shows the relevant symptoms.","[{'idx_src': [4, 5], 'idx_tgt': [4, 5, 6], 'corr_type': 'Wci'}, {'idx_src': [13], 'idx_tgt': [14], 'corr_type': 'Nn'}, {'idx_src': [14], 'idx_tgt': [15], 'corr_type': 'SVA'}]","Genetic disorders are inherited from generation to generation, but not all offspring show the relevant symptoms."
Sometimes a family with potential genetic disorder risk may not be able to detect the potential harm inside their bodies as none of their members reflect any observable disorder symptoms.,Sometimes a family with potential genetic disorder risk may not be able to detect the potential harm inside their bodies as none of their members reflect any observable disorder symptoms.,[],"Sometimes a family with a potential genetic disorder risk may not be able to detect the potential harm within their bodies, as none of their members reflect any observable disorder symptoms."
"As a result, in the case that when one of the members happen to feel uncomfortable or unnormal, he or she should aware that whether the disorder in his or her body is a genetic risk or not.","As a result, in the case that when one of the members happens to feel uncomfortable or abnormal, he or she should be aware if the disorder in his or her body is a genetic risk or not.","[{'idx_src': [13], 'idx_tgt': [13], 'corr_type': 'SVA'}, {'idx_src': [18], 'idx_tgt': [18], 'corr_type': 'Wci'}, {'idx_src': [], 'idx_tgt': [24], 'corr_type': 'Vform'}, {'idx_src': [25, 26], 'idx_tgt': [26], 'corr_type': 'Ssub'}]","As a result, in the event that one of the members happens to feel uncomfortable or abnormal, he or she should be aware that whether the disorder in his or her body is a genetic risk or not."
"Afterward, the carrier will face a serious ethical issue, which is to reveal the problem to his or her relatives or not.","Afterwards the carrier will face a serious ethical issue, which is to reveal the problem to his or her relatives or not.","[{'idx_src': [0, 1], 'idx_tgt': [0], 'corr_type': 'Trans'}]","Afterwards, the carrier will face a serious ethical issue, namely whether to reveal the problem to his or her relatives or not."
"If the disorder symptoms reflect on a kid, the parent will be informed by the medics for sure, then the whole family will stay alert to their bodies' condition.","If the disorder symptoms are discovered on a child, the parent will be informed by the medics, then the whole family will stay alert to their body's condition.","[{'idx_src': [4], 'idx_tgt': [4, 5], 'corr_type': 'Wci'}, {'idx_src': [7], 'idx_tgt': [8], 'corr_type': 'Wci'}, {'idx_src': [17, 18], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [29, 30], 'idx_tgt': [28, 29], 'corr_type': 'Nn'}]","If the disorder's symptoms affect a child, the parents will be informed by the medical team for sure, and then the whole family will remain vigilant about their bodies' conditions."
"On contrary, if the carrier is an adult, who has his own choice to choose whether to inform his or her relatives about the risk, that will be more complex.","In contrast, if the carrier is an adult, and is responsible to choose whether to inform his or her relatives about the risk, that will be more complex.","[{'idx_src': [0, 1], 'idx_tgt': [0, 1], 'corr_type': 'Trans'}, {'idx_src': [10, 11, 12, 13, 14], 'idx_tgt': [10, 11, 12], 'corr_type': 'Ssub'}]","On the other hand, if the carrier is an adult, who has his or her own choice to decide whether to inform his or her relatives about the risk, that will be more complex."
"One may think that if the carrier is a caring person who loves his or her family more than himself, there is no doubt that he or she will tell his or her family about the issue.","One may think that if the carrier is a caring person who loves his or her family more than himself, there is no doubt that he or she will tell his or her family about the issue.",[],"One may think that if the carrier is a caring person who loves his or her family more than himself/herself, there is no doubt that he or she will tell his or her family about the issue."
That is true and of course it is the obligation of a family member to protect and take care of the family.,That is true and of course it is the obligation of a family member to protect and take care of the family.,[],"That is true, and of course, it is the obligation of a family member to protect and take care of the family."
"Think of the other way, if a child of the family knows that he has the risk to become a genetic risk carrier, and the risk might as well inherit to his child in the future, his whole life will be in a dilenma.","Let's us look at another possibility: if a child of the family knows that he has the risk of becoming a genetic risk carrier, and the risk might be passed to his child in the future, his whole life will be in a dilenma.","[{'idx_src': [0, 1, 2, 3, 4, 5], 'idx_tgt': [0, 1, 2, 3, 4, 5, 6, 7], 'corr_type': 'Wci'}, {'idx_src': [18], 'idx_tgt': [20], 'corr_type': 'Prep'}, {'idx_src': [19], 'idx_tgt': [21], 'corr_type': 'Vform'}, {'idx_src': [29, 30, 31], 'idx_tgt': [31, 32], 'corr_type': 'Wci'}]","Think of the other way: if a child of the family knows that he has the risk of becoming a genetic risk carrier, and the risk may as well be inherited by his child in the future, his whole life will be in a dilemma."
"And of course, he or she will think of not having any child after getting married, and the same thought goes to the cousins as well.","Thus, he or she will think of not having any child after getting married, and the same thought goes to the cousins as well.","[{'idx_src': [0], 'idx_tgt': [0], 'corr_type': 'Trans'}, {'idx_src': [1, 2], 'idx_tgt': [], 'corr_type': 'Trans'}]","And of course, he or she will think about not having any children after getting married, and the same thought applies to the cousins as well."
"As a result, the family generation stops by the moment the adult carrier announces his issue.","As a result, the family generation stops by the moment the adult carrier announces his issue.",[],"As a result, the family generation comes to a halt as soon as the adult carrier announces their condition."
"In China, the older generation with traditional culture background, will always think of having more children as well as grandchildren, to make the family liven up and stronger.","In China, the older generation with traditional cultural backgrounds, will always think of having more children as well as grandchildren, to make the family increase and grow stronger.","[{'idx_src': [8], 'idx_tgt': [8], 'corr_type': 'Wform'}, {'idx_src': [9], 'idx_tgt': [9], 'corr_type': 'Nn'}, {'idx_src': [27, 28], 'idx_tgt': [27], 'corr_type': 'Wci'}, {'idx_src': [], 'idx_tgt': [29], 'corr_type': 'Wci'}]","In China, the older generation with a traditional cultural background will always think of having more children and grandchildren, so as to make the family lively and strong."
The reason behind is that after WOWII the population of China decreased dramatically and so the government encourage the people to give more birth.,The underlying reason is that after WOWII the population of China decreased dramatically and so the government encouraged the people to have more children.,"[{'idx_src': [], 'idx_tgt': [1], 'corr_type': 'Wci'}, {'idx_src': [2], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [17], 'idx_tgt': [17], 'corr_type': 'Vm'}, {'idx_src': [21, 22, 23], 'idx_tgt': [21, 22, 23], 'corr_type': 'Wci'}]","The reason behind this is that after World War II, the population of China decreased dramatically, and so the government encouraged the people to have more babies."
"During that period, if one of the family member reflects genetic disorder symptoms, he will fell in an ethical dilenma for sure.","During that period, if one of the family members was affected by genetic disorder symptoms, he faced an ethical dilenma.","[{'idx_src': [9], 'idx_tgt': [9], 'corr_type': 'Nn'}, {'idx_src': [10], 'idx_tgt': [10, 11, 12], 'corr_type': 'Wci'}, {'idx_src': [16], 'idx_tgt': [], 'corr_type': 'Vt'}, {'idx_src': [17], 'idx_tgt': [18], 'corr_type': 'Wci'}, {'idx_src': [18], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [22, 23], 'idx_tgt': [], 'corr_type': 'Rloc-'}]","During that period, if one of the family members reflects genetic disorder symptoms, he will fall into an ethical dilemma for sure."
The medical treatment technology during that time is not advanced enough to completely cure him.,The medical treatment technology during that time was not advanced enough to completely cure him.,"[{'idx_src': [7], 'idx_tgt': [7], 'corr_type': 'Vt'}]",The medical treatment technology during that time was not advanced enough to completely cure him.
He has to choose whether to protect his family or make his family more prosperity with a potential generic risk.,He had to choose to protect his family and make his family more prosperous despite a potential genetic risk.,"[{'idx_src': [1], 'idx_tgt': [1], 'corr_type': 'Vt'}, {'idx_src': [4], 'idx_tgt': [], 'corr_type': 'Ssub'}, {'idx_src': [9], 'idx_tgt': [8], 'corr_type': 'Trans'}, {'idx_src': [14], 'idx_tgt': [13], 'corr_type': 'Wform'}, {'idx_src': [15], 'idx_tgt': [14], 'corr_type': 'Trans'}, {'idx_src': [18], 'idx_tgt': [17], 'corr_type': 'Mec'}]",He has to choose whether to protect his family or increase its prosperity despite a potential genetic risk.
"And so, he would have chosen not to undergo generic disorder testing and let the truth be mined forever.","And so, he would have chosen not to undergo generic disorder testing and let the truth be hidden forever.","[{'idx_src': [18], 'idx_tgt': [18], 'corr_type': 'Wci'}]","And so, he would have chosen not to undergo genetic disorder testing and let the truth remain hidden forever."
This kind of ethical issue cannot be judged by the others because they will not understand the position and duty of the carrier in the family.,This kind of ethical issue cannot be judged by others because they will not understand the position and duty of the provider in the family.,"[{'idx_src': [10], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [23], 'idx_tgt': [22], 'corr_type': 'Wci'}]",This kind of ethical issue cannot be judged by others because they will not understand the position and duties of the carrier within the family.
"In conclude, people should think carefully of what is the consequences of telling the relatives his or her generic disorder issue.",In conclusion people should think carefully about what the consequences are of telling the relatives about his or her generic disorder issue.,"[{'idx_src': [1, 2], 'idx_tgt': [1], 'corr_type': 'Wform'}, {'idx_src': [7], 'idx_tgt': [6], 'corr_type': 'Pref'}, {'idx_src': [9, 10, 11], 'idx_tgt': [8, 9, 10], 'corr_type': 'WOinc'}, {'idx_src': [], 'idx_tgt': [15], 'corr_type': 'Prep'}]","In conclusion, people should think carefully about the consequences of telling their relatives about their genetic disorder issue."
"It is an obligation for a carrier to inform his relatives, but also an obligation for a family member to liven up the family.","It is an obligation for a carrier to inform his relatives, but also an obligation for a family member to develop the family.","[{'idx_src': [21, 22], 'idx_tgt': [21], 'corr_type': 'Wci'}]","It is an obligation for a carrier to inform his relatives, but also an obligation for a family member to support the family."
"Regardlessly, if the disorder is rarely to be fatal, or it does not caused any inconvenience to the carrier, revealing the truth is always the right thing to do.","Despite this if the disorder is unlikely to be fatal, or it does not cause any inconvenience to the carrier, revealing the truth is always the right thing to do.","[{'idx_src': [0, 1], 'idx_tgt': [0, 1], 'corr_type': 'Trans'}, {'idx_src': [6], 'idx_tgt': [6], 'corr_type': 'Wci'}, {'idx_src': [15], 'idx_tgt': [15], 'corr_type': 'Vform'}]","Regardless, even if the disorder is rare and unlikely to be fatal, or it does not cause any inconvenience to the carrier, revealing the truth is always the right thing to do."
"In my opinion, the carrier should tell his or her relatives about it.","In my opinion, the carrier should tell his or her relatives about it.",[],"In my opinion, the carrier should tell their relatives about it."
"One of the reasons why is because as a carrier, she or he needs a mental support to go through with this situation.","One of the reasons why is because as a carrier, she or he needs mental support to go through this situation.","[{'idx_src': [15], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [21], 'idx_tgt': [], 'corr_type': 'Prep'}]","One of the reasons why is because, as a carrier, they need mental support to go through with this situation."
It will be hard for an individual to deal with the issue on its own.,It is hard for an individual to deal with the issue on his or her own.,"[{'idx_src': [1, 2], 'idx_tgt': [1], 'corr_type': 'Vm'}, {'idx_src': [13], 'idx_tgt': [12, 13, 14], 'corr_type': 'Pform'}]",It will be hard for an individual to deal with the issue on its own.
"By telling to his or her family other than being a support, they could possibly help her to get alternative solutions to the problem that she is facing right now.","By telling his or her family other than being a support, they could possibly help her to get alternative solutions to the problem that she is facing there and then.","[{'idx_src': [2], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [29, 30], 'idx_tgt': [28, 29, 30], 'corr_type': 'Wci'}]","By telling their family, besides providing emotional support, they could potentially help her find alternative solutions to the problem she is currently facing."
"Other than that, I believe that the stong bond we have with our family is the biggest pillar of support to the carrier.","Other than that, I believe that the stong bond we have with our family is the biggest pillar of support to the carrier.",[],"Other than that, I believe that the strong bond we have with our family is the biggest pillar of support for the carrier."
"Furthermore, as it is a genetic problem, it will be better for the carrier to inform his or her family as other family member might experience the same thing.","Furthermore, as it is a genetic problem, it is better for the carrier to inform his or her family as other family members might experience the same thing.","[{'idx_src': [10, 11], 'idx_tgt': [10], 'corr_type': 'Vt'}, {'idx_src': [25], 'idx_tgt': [24], 'corr_type': 'Nn'}]","Furthermore, as it is a genetic problem, it will be better for the carrier to inform his or her family because other family members might experience the same thing."
"By making sure that they are aware of this genetic problem, they could have a full check-up for themselves and it will be better if they could even prevent it from happening to themselves.","By making sure that they are aware of this genetic problem, they could have a full check-up for themselves and they could even prevent it from happening to themselves.","[{'idx_src': [21, 22, 23, 24, 25], 'idx_tgt': [], 'corr_type': 'Ssub'}]","By ensuring that they are aware of this genetic problem, they could have a full check-up for themselves, and it would be better if they could even prevent it from occurring in themselves."
