source,target,annotation
"For a genetic risk carrier , there should be choice given with regards to informing his/her relatives .","For a genetic risk carrier , there should be choice given with regards to informing his/her relatives .",NONE
"There should not be forced or obligied to do so , as it may negatively and drastically affect the emotions of the genetic risk carrier .","There should not be force or obligation obligied to do so , as it may negatively and drastically affect the emotions of the genetic risk carrier .",A 4 5|||Wci|||force|||REQUIRED|||-NONE-|||0; A 6 6|||ArtOrDet|||an|||REQUIRED|||-NONE-|||0; A 6 7|||Wci|||obligation|||REQUIRED|||-NONE-|||0
"With regard to this choice given , there must be some rules to regulate and exercise personal freedom of decision making .","With regard to the choice given , there must be some rules to regulate and exercise personal freedom of decision making .",A 3 4|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0
"If the genetic risk carrier is a minor or a child , then most likely the decision of informing the relative should be made with the consideration of the patients parents or legal guardian .","If the genetic risk carrier is a minor or a child , then most likely the decision of informing the relative should be made with the consideration of the patient 's parents or legal guardians .",A 29 30|||Npos|||patient 's|||REQUIRED|||-NONE-|||0; A 33 34|||Nn|||guardians|||REQUIRED|||-NONE-|||0
Such patients are still emotionally volatile or they may be unaware of the consequences of such genetic disorder due to their young age .,"Such patients are still emotionally volatile , or they may be unaware of the consequences of such disorders disorder due to their young age .","A 6 6|||Mec|||,|||REQUIRED|||-NONE-|||0; A 17 18|||Nn|||disorders|||REQUIRED|||-NONE-|||0"
Furthermore the act of informing others without the consent from their parents or the patients itself could harm the psychological state of the affected family .,"Furthermore , the act of informing others the consent from their parents or the patients themselves could harm the psychological state of the affected family .","A 1 1|||Mec|||,|||REQUIRED|||-NONE-|||0; A 7 8|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 15 16|||Pref|||themselves|||REQUIRED|||-NONE-|||0"
"Thus , much thought need to put on the immediate family as it could caused a stir of unwanted events from the patient or the family members itself .","Thus , much thought needed from on the immediate family as it could caused cause events from the patient or for family members itself . themselves",A 4 4|||V0|||is|||REQUIRED|||-NONE-|||0; A 4 5|||Vform|||needed|||REQUIRED|||-NONE-|||0; A 5 8|||Prep|||from|||REQUIRED|||-NONE-|||0; A 14 15|||Vt|||cause|||REQUIRED|||-NONE-|||0; A 15 18|||Rloc-||||||REQUIRED|||-NONE-|||0; A 20 21|||Prep|||for|||REQUIRED|||-NONE-|||0; A 27 28|||Pref|||themselves|||REQUIRED|||-NONE-|||0
"Some family may feel hurt , with regards to their family pride or reputation , on having the knowledge of such genetic disorder running in their family .","Some families may feel hurt with regards to their family pride or reputation , on having the knowledge of such genetic disorder disorders in their family .",A 1 2|||Nn|||families|||REQUIRED|||-NONE-|||0; A 5 6|||Mec||||||REQUIRED|||-NONE-|||0; A 22 23|||Nn|||disorders|||REQUIRED|||-NONE-|||0
"However , there is a role and a sense of responsibility to inform their relatives since it is a genetic disorder .","However , there is a role and a sense of responsibility to inform relatives since , it is a genetic disorder .","A 13 14|||Pform||||||REQUIRED|||-NONE-|||0; A 15 15|||Mec|||,|||REQUIRED|||-NONE-|||0"
There might be a possibility that the genetic disorder could also affect their relatives and any other families within the same family tree .,There be is possibility that the genetic disorder could also affect their and any other families within the same family tree .,A 1 2|||Vm||||||REQUIRED|||-NONE-|||0; A 2 3|||Vform|||is|||REQUIRED|||-NONE-|||0; A 12 13|||Pform||||||REQUIRED|||-NONE-|||0
The importance of informing relatives of such genetic disease is vital as it may help to raise awareness and prevention towards the genetic disorder .,"The importance of informing relatives of such genetic diseases is vital , as it may help to raise awareness increase of towards the genetic disorder .","A 8 9|||Nn|||diseases|||REQUIRED|||-NONE-|||0; A 11 11|||Mec|||,|||REQUIRED|||-NONE-|||0; A 19 20|||V0|||increase|||REQUIRED|||-NONE-|||0; A 20 21|||Prep|||of|||REQUIRED|||-NONE-|||0"
"Also , this known information will help their relatives to make informed decisions and tosimilarly undergo genetic testingto find out about the outcome .","Also , this known information will help their relatives to make informed decisions and to silmilarly undergo genetic testing to find out about their genes .",A 14 15|||Mec|||to silmilarly|||REQUIRED|||-NONE-|||0; A 17 18|||Mec|||testing to|||REQUIRED|||-NONE-|||0; A 21 22|||ArtOrDet|||their|||REQUIRED|||-NONE-|||0; A 22 23|||Others|||genes|||REQUIRED|||-NONE-|||0
"Thus , having the knowledge that such genetic disorder is benign would be beneficial towards their emotinal thoughts .","Thus , having the knowledge that such genetic disorders are benign would be beneficial to their emotional thoughts .",A 8 9|||Nn|||disorders|||REQUIRED|||-NONE-|||0; A 9 10|||SVA|||are|||REQUIRED|||-NONE-|||0; A 14 15|||Prep|||to|||REQUIRED|||-NONE-|||0; A 16 17|||Mec|||emotional|||REQUIRED|||-NONE-|||0
"And if the results turn out to be otherwise , then the family can be prepared emotionally and psychologically of the future outcome and aid them in making upcoming decisions .","And if the results turn out otherwise , then the family can be prepared emotionally and psychologically of the for outcome and aid them in making upcoming decisions","A 6 8|||Rloc-||||||REQUIRED|||-NONE-|||0; A 19 20|||Prep|||for|||REQUIRED|||-NONE-|||0; A 22 22|||Mec|||,|||REQUIRED|||-NONE-|||0; A 22 23|||Rloc-||||||REQUIRED|||-NONE-|||0; A 28 29|||Rloc-||||||REQUIRED|||-NONE-|||0"
"In addition , the genetic risk carrier would be showered with moral and emotional support from their relatives if it is been made known to them .","In addition , the genetic risk carrier would be showered with moral and emotional support from their relatives if it has been made known to them .",A 20 21|||Wci|||has|||REQUIRED|||-NONE-|||0
Having support from relatives are vital as they ensure the genetic risk carrier that he/she is not alone in facing this illness and it will certainly provide a morale boost as the whole family will share a common sentiment with regards towards the future prospect of the genetic disorder which could be inherited by anyone in the family .,"Having support from relatives is vital as they assure the genetic risk carrier that they are not alone in facing this illness Also , and it will certainly provide a morale , boost as the whole family will share a common sentiment to regards towards the future prospect of the that disorder which could be inherited by anyone in the family .","A 4 5|||SVA|||is|||REQUIRED|||-NONE-|||0; A 8 9|||Wci|||assure|||REQUIRED|||-NONE-|||0; A 14 15|||Pref|||they|||REQUIRED|||-NONE-|||0; A 15 16|||SVA|||are|||REQUIRED|||-NONE-|||0; A 22 22|||Srun|||.|||REQUIRED|||-NONE-|||0; A 22 23|||Trans|||Also ,|||REQUIRED|||-NONE-|||0; A 30 30|||Mec|||,|||REQUIRED|||-NONE-|||0; A 41 42|||Prep|||to|||REQUIRED|||-NONE-|||0; A 49 50|||Ssub|||that|||REQUIRED|||-NONE-|||0"
"Therefore , the decision to inform relatives of such genetic disorder will be dependent of the situation and backgroung of the affected family , with the liberty of choice given to them in making the decision of informing others .","Therefore , the decision to inform relatives of such genetic disorders will be dependent on the situation and background of the affected family , with the liberty of choice given to them in making the decision of to inform informing others .",A 10 11|||Nn|||disorders|||REQUIRED|||-NONE-|||0; A 14 15|||Prep|||on|||REQUIRED|||-NONE-|||0; A 18 19|||Mec|||background|||REQUIRED|||-NONE-|||0; A 37 37|||Ssub|||whether|||REQUIRED|||-NONE-|||0; A 37 38|||Vform|||to inform|||REQUIRED|||-NONE-|||0
"A person with a disorder , regardless of mental or physical disorder , is always easy to be awared by his or her families .","A person with a disorder , regardless of a whether mental or physical disorder , easily able easy inform awared by his or family families .",A 8 8|||Others|||whether|||REQUIRED|||-NONE-|||0; A 8 8|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 15 16|||Wform|||easily|||REQUIRED|||-NONE-|||0; A 16 16|||V0|||able|||REQUIRED|||-NONE-|||0; A 17 18|||Rloc-||||||REQUIRED|||-NONE-|||0; A 18 19|||Wci|||inform|||REQUIRED|||-NONE-|||0; A 19 20|||Prep||||||REQUIRED|||-NONE-|||0; A 23 24|||Nn|||family|||REQUIRED|||-NONE-|||0
"When things come to genetic issues , it is not that simple anymore .","When things come to genetic issues , it is not that simple anymore .",NONE
"Genetic disorder inheritance is generation by generation , but not all of the offsprings show the relevant symptoms .","The inheritance of a genetic disorder is generation by from to , but not all of offsprings the offspring symptoms .",A 0 3|||WOadv|||The inheritance of a genetic disorder|||REQUIRED|||-NONE-|||0; A 4 4|||Prep|||from|||REQUIRED|||-NONE-|||0; A 5 6|||Prep|||to|||REQUIRED|||-NONE-|||0; A 11 12|||Prep||||||REQUIRED|||-NONE-|||0; A 12 13|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 13 14|||Mec|||offspring|||REQUIRED|||-NONE-|||0
Sometimes a family with potential genetic disorder risk may not be able to detect the potential harm inside their bodies as none of their members reflect any observable disorder symptoms .,"Sometimes , a family potential a genetic disorder risk may not be able to detect the potential harm inside their , bodies as its of display members reflect any observable disorder symptoms .","A 1 1|||Mec|||,|||REQUIRED|||-NONE-|||0; A 4 5|||Rloc-||||||REQUIRED|||-NONE-|||0; A 5 5|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 20 20|||Mec|||,|||REQUIRED|||-NONE-|||0; A 23 24|||Pref|||its|||REQUIRED|||-NONE-|||0; A 25 26|||Wci|||display|||REQUIRED|||-NONE-|||0"
"As a result , in the case that when one of the members happen to feel uncomfortable or unnormal , he or she should aware that whether the disorder in his or her body is a genetic risk or not .","As a result , when one of the members happen to feel uncomfortable happens unnormal , he or abnormal should aware that whether the be of in his or her body is a genetic risk or not .",A 4 8|||Rloc-||||||REQUIRED|||-NONE-|||0; A 13 14|||SVA|||happens|||REQUIRED|||-NONE-|||0; A 18 19|||Mec|||abnormal|||REQUIRED|||-NONE-|||0; A 24 24|||V0|||be|||REQUIRED|||-NONE-|||0; A 25 26|||Prep|||of|||REQUIRED|||-NONE-|||0
"Afterward , the carrier will face a serious ethical issue , which is to reveal the problem to his or her relatives or not .","Afterwards , , the carrier will face a serious ethical issue , which is or not whether to reveal the problem to his or or not .","A 0 1|||Mec|||Afterwards ,|||REQUIRED|||-NONE-|||0; A 13 13|||Others|||whether|||REQUIRED|||-NONE-|||0; A 13 13|||WOinc|||or not|||REQUIRED|||-NONE-|||0; A 22 24|||WOinc||||||REQUIRED|||-NONE-|||0"
"If the disorder symptoms reflect on a kid , the parent will be informed by the medics for sure , then the whole family will stay alert to their bodies ' condition .","If the disorder 's appear reflect on child , and the is be informed by the medics , then the whole family will stay alert to their bodies ' condition .",A 3 3|||Npos|||'s|||REQUIRED|||-NONE-|||0; A 4 5|||Wci|||appear|||REQUIRED|||-NONE-|||0; A 7 8|||Wtone|||child|||REQUIRED|||-NONE-|||0; A 8 9|||Mec||||||REQUIRED|||-NONE-|||0; A 9 9|||Trans|||and|||REQUIRED|||-NONE-|||0; A 11 13|||Vt|||is|||REQUIRED|||-NONE-|||0; A 17 19|||Rloc-||||||REQUIRED|||-NONE-|||0
"On contrary , if the carrier is an adult , who has his own choice to choose whether to inform his or her relatives about the risk , that will be more complex .","On the contrary , if the carrier is an , who has his or her own of choose whether to inform his or her relatives about the risk , the situation is more complex .",A 1 1|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 9 10|||Mec||||||REQUIRED|||-NONE-|||0; A 13 13|||ArtOrDet|||or her|||REQUIRED|||-NONE-|||0; A 15 17|||Prep|||of|||REQUIRED|||-NONE-|||0; A 28 29|||Pref|||the situation|||REQUIRED|||-NONE-|||0; A 29 31|||Vt|||is|||REQUIRED|||-NONE-|||0
"One may think that if the carrier is a caring person who loves his or her family more than himself , there is no doubt that he or she will tell his or her family about the issue .","One may think that if the carrier is a caring person who loves his or her family more than him- or herself , there is no doubt that he or she will tell his or her family about the issue .",A 19 20|||Pform|||him- or herself|||REQUIRED|||-NONE-|||0
That is true and of course it is the obligation of a family member to protect and take care of the family .,"That is true , and of course it is the obligation of a family member to protect and take care of the family .","A 3 3|||Mec|||,|||REQUIRED|||-NONE-|||0"
"Think of the other way , if a child of the family knows that he has the risk to become a genetic risk carrier , and the risk might as well inherit to his child in the future , his whole life will be in a dilenma .","Think from the other perspective : , if a child of the family knows that or she he chance of becoming to become a genetic risk carrier , and the as well be inherited by his or her child in the future , or her his whole life by the dilemma in a dilenma .",A 1 2|||Prep|||from|||REQUIRED|||-NONE-|||0; A 4 4|||ArtOrDet|||person 's|||REQUIRED|||-NONE-|||0; A 4 5|||Wci|||perspective|||REQUIRED|||-NONE-|||0; A 5 6|||Mec|||:|||REQUIRED|||-NONE-|||0; A 15 15|||Pform|||or she|||REQUIRED|||-NONE-|||0; A 17 18|||Others|||chance|||REQUIRED|||-NONE-|||0; A 18 19|||Prep|||of|||REQUIRED|||-NONE-|||0; A 19 20|||Vform|||becoming|||REQUIRED|||-NONE-|||0; A 29 31|||Rloc-||||||REQUIRED|||-NONE-|||0; A 31 32|||Vt|||be inherited|||REQUIRED|||-NONE-|||0; A 32 33|||Prep|||by|||REQUIRED|||-NONE-|||0; A 34 34|||ArtOrDet|||or her|||REQUIRED|||-NONE-|||0; A 40 40|||ArtOrDet|||or her|||REQUIRED|||-NONE-|||0; A 44 44|||V0|||affected|||REQUIRED|||-NONE-|||0; A 44 45|||Prep|||by|||REQUIRED|||-NONE-|||0; A 45 46|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 46 47|||Mec|||dilemma|||REQUIRED|||-NONE-|||0
"And of course , he or she will think of not having any child after getting married , and the same thought goes to the cousins as well .","And of course , he or she will consider not having any child children getting married , and the cousins as well . his or her will consider this",A 8 9|||Wci|||consider|||REQUIRED|||-NONE-|||0; A 9 10|||Prep||||||REQUIRED|||-NONE-|||0; A 13 14|||Nn|||children|||REQUIRED|||-NONE-|||0; A 19 24|||WOinc||||||REQUIRED|||-NONE-|||0; A 24 25|||ArtOrDet|||his or her|||REQUIRED|||-NONE-|||0; A 26 26|||WOinc|||will consider this|||REQUIRED|||-NONE-|||0
"As a result , the family generation stops by the moment the adult carrier announces his issue .","As a result , the family stops by the moment the adult carrier announces his issue or her .",A 6 7|||Others||||||REQUIRED|||-NONE-|||0; A 8 8|||V0|||reproducing|||REQUIRED|||-NONE-|||0; A 8 9|||Prep||||||REQUIRED|||-NONE-|||0; A 16 16|||ArtOrDet|||or her|||REQUIRED|||-NONE-|||0
"In China , the older generation with traditional culture background , will always think of having more children as well as grandchildren , to make the family liven up and stronger .","In China , the older generation , a cultural traditional culture background , will always think of having and well as grandchildren , to make the family bigger and stronger .","A 6 6|||Mec|||,|||REQUIRED|||-NONE-|||0; A 7 7|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 8 9|||Wform|||cultural|||REQUIRED|||-NONE-|||0; A 18 21|||Trans|||and|||REQUIRED|||-NONE-|||0; A 27 29|||Wci|||bigger|||REQUIRED|||-NONE-|||0"
The reason behind is that after WOWII the population of China decreased dramatically and so the government encourage the people to give more birth .,"The reason behind this is that World War II WOWII the population of China decreased , dramatically and so encouraged government encourage the have to births more birth .","A 3 3|||Pref|||this|||REQUIRED|||-NONE-|||0; A 6 7|||Wa|||World War II|||REQUIRED|||-NONE-|||0; A 13 13|||Mec|||,|||REQUIRED|||-NONE-|||0; A 17 18|||Vt|||encouraged|||REQUIRED|||-NONE-|||0; A 21 22|||Wci|||have|||REQUIRED|||-NONE-|||0; A 23 24|||Nn|||births|||REQUIRED|||-NONE-|||0"
"During that period , if one of the family member reflects genetic disorder symptoms , he will fell in an ethical dilenma for sure .","During that period , if one the member reflects genetic displayed symptoms , he will fell in certainly into ethical dilenma dilemma",A 6 7|||Prep||||||REQUIRED|||-NONE-|||0; A 7 8|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 10 11|||Vt|||displayed|||REQUIRED|||-NONE-|||0; A 16 16|||Pref|||or she|||REQUIRED|||-NONE-|||0; A 16 17|||Vt||||||REQUIRED|||-NONE-|||0; A 17 17|||WOadv|||certainly|||REQUIRED|||-NONE-|||0; A 18 19|||Prep|||into|||REQUIRED|||-NONE-|||0; A 21 22|||Mec|||dilemma|||REQUIRED|||-NONE-|||0; A 22 24|||WOadv||||||REQUIRED|||-NONE-|||0
The medical treatment technology during that time is not advanced enough to completely cure him .,The medical treatment technology during that time was not advanced enough to completely cure patients .,A 7 8|||Vt|||was|||REQUIRED|||-NONE-|||0; A 14 15|||Pref|||patients|||REQUIRED|||-NONE-|||0
He has to choose whether to protect his family or make his family more prosperity with a potential generic risk .,"They had to choose whether to protect their family or make their family more prosperous , but with a genetic generic risk .","A 0 1|||Pref|||They|||REQUIRED|||-NONE-|||0; A 1 2|||Vt|||had|||REQUIRED|||-NONE-|||0; A 7 8|||ArtOrDet|||their|||REQUIRED|||-NONE-|||0; A 11 12|||ArtOrDet|||their|||REQUIRED|||-NONE-|||0; A 14 15|||Wform|||prosperous ,|||REQUIRED|||-NONE-|||0; A 15 15|||Trans|||but|||REQUIRED|||-NONE-|||0; A 18 19|||Mec|||genetic|||REQUIRED|||-NONE-|||0"
"And so , he would have chosen not to undergo generic disorder testing and let the truth be mined forever .","And so , they would have chosen not to undergo genetic disorder testing , and let the truth hidden mined forever .","A 3 4|||Pref|||they|||REQUIRED|||-NONE-|||0; A 10 11|||Mec|||genetic|||REQUIRED|||-NONE-|||0; A 13 13|||Mec|||,|||REQUIRED|||-NONE-|||0; A 18 19|||Wci|||hidden|||REQUIRED|||-NONE-|||0"
This kind of ethical issue can not be judged by the others because they will not understand the position and duty of the carrier in the family .,This kind of ethical issue can not be judged by others because they will would understand the position and duty of the carrier in the family .,A 10 11|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 14 15|||Vm|||would|||REQUIRED|||-NONE-|||0
"In conclude , people should think carefully of what is the consequences of telling the relatives his or her generic disorder issue .","In conclusion , people should think carefully about the consequences of telling the relatives or her their issue . genetic issues",A 1 2|||Wform|||conclusion|||REQUIRED|||-NONE-|||0; A 7 8|||Prep|||about|||REQUIRED|||-NONE-|||0; A 8 10|||Rloc-||||||REQUIRED|||-NONE-|||0; A 14 15|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 16 16|||Prep|||about|||REQUIRED|||-NONE-|||0; A 16 19|||ArtOrDet|||their|||REQUIRED|||-NONE-|||0; A 19 20|||Mec|||genetic|||REQUIRED|||-NONE-|||0; A 21 22|||Nn|||issues|||REQUIRED|||-NONE-|||0
"It is an obligation for a carrier to inform his relatives , but also an obligation for a family member to liven up the family .","It is an obligation for a carrier to inform his or her relatives , but also an obligation for a family member to liven up the family .",A 10 10|||ArtOrDet|||or her|||REQUIRED|||-NONE-|||0
"Regardlessly , if the disorder is rarely to be fatal , or it does not caused any inconvenience to the carrier , revealing the truth is always the right thing to do .","Regardless if of whether disorder is rarely to , or it does not any inconvenience to cause carrier , revealing the truth is always the right thing to do .",A 0 2|||Mec|||Regardless|||REQUIRED|||-NONE-|||0; A 2 3|||Prep|||of whether|||REQUIRED|||-NONE-|||0; A 7 9|||Rloc-||||||REQUIRED|||-NONE-|||0; A 12 13|||Rloc-||||||REQUIRED|||-NONE-|||0; A 15 16|||Vt|||cause|||REQUIRED|||-NONE-|||0
"In my opinion , the carrier should tell his or her relatives about it .","In my opinion , the carrier of a genetic disorder should tell his or her relatives the disorder it .",A 6 6|||Pref|||of a genetic disorder|||REQUIRED|||-NONE-|||0; A 13 14|||Pref|||the disorder|||REQUIRED|||-NONE-|||0
"One of the reasons why is because as a carrier , she or he needs a mental support to go through with this situation .","One of the reasons is because as , a carrier , he or she needs a mental to go through with endure the","A 4 5|||Rloc-||||||REQUIRED|||-NONE-|||0; A 7 7|||Mec|||,|||REQUIRED|||-NONE-|||0; A 11 14|||Pref|||he or she|||REQUIRED|||-NONE-|||0; A 15 16|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 19 22|||Wci|||endure|||REQUIRED|||-NONE-|||0; A 22 23|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0"
It will be hard for an individual to deal with the issue on its own .,It would be hard for an individual to deal with the issue on his or her own .,A 1 2|||Vm|||would|||REQUIRED|||-NONE-|||0; A 13 14|||Pref|||his or her|||REQUIRED|||-NONE-|||0
"By telling to his or her family other than being a support , they could possibly help her to get alternative solutions to the problem that she is facing right now .","By telling his or her family other as well as being offering , they could possibly can her to alternative in finding the problem that she is facing the sufferer now .","A 2 3|||Prep||||||REQUIRED|||-NONE-|||0; A 7 7|||Mec|||,|||REQUIRED|||-NONE-|||0; A 7 9|||Wci|||as well as|||REQUIRED|||-NONE-|||0; A 9 10|||Wci|||offering|||REQUIRED|||-NONE-|||0; A 10 11|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 14 15|||Vm|||can|||REQUIRED|||-NONE-|||0; A 17 18|||Pref||||||REQUIRED|||-NONE-|||0; A 18 19|||Prep|||in|||REQUIRED|||-NONE-|||0; A 19 20|||Vform|||finding|||REQUIRED|||-NONE-|||0; A 26 27|||Pref|||the sufferer|||REQUIRED|||-NONE-|||0; A 29 31|||Rloc-||||||REQUIRED|||-NONE-|||0"
"Other than that , I believe that the stong bond we have with our family is the biggest pillar of support to the carrier .","Other than that , I believe that the stong bond one has with one 's families is the biggest pillar of support to a carrier .",A 10 11|||Pref|||one|||REQUIRED|||-NONE-|||0; A 11 12|||SVA|||has|||REQUIRED|||-NONE-|||0; A 13 14|||Npos|||one 's|||REQUIRED|||-NONE-|||0; A 14 15|||Nn|||families|||REQUIRED|||-NONE-|||0; A 22 23|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0
"Furthermore , as it is a genetic problem , it will be better for the carrier to inform his or her family as other family member might experience the same thing .","Furthermore , as it is a genetic problem , it is better for the a to inform his or her family as , other family members might experience the same thing .","A 10 12|||Vt|||is|||REQUIRED|||-NONE-|||0; A 14 15|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 22 22|||Mec|||,|||REQUIRED|||-NONE-|||0; A 25 26|||Nn|||members|||REQUIRED|||-NONE-|||0"
"By making sure that they are aware of this genetic problem , they could have a full check-up for themselves and it will be better if they could even prevent it from happening to themselves .","By making sure that they are aware of this genetic problem , they could have a full check-up for themselves , and would will be better if they could even prevent it from happening to themselves .","A 20 20|||Mec|||,|||REQUIRED|||-NONE-|||0; A 22 23|||Vm|||would|||REQUIRED|||-NONE-|||0"
"I find that it is important to inform especially if it is contagious , the carrier could prevent the disease from spreading out to the society .","I find that it is important to inform , especially if it is contagious so , the carrier could prevent the disease the society .","A 8 8|||Mec|||,|||REQUIRED|||-NONE-|||0; A 14 14|||Trans|||so|||REQUIRED|||-NONE-|||0; A 22 26|||Rloc-||||||REQUIRED|||-NONE-|||0"
For every action there is always pros and cons .,For every action there are always pros and cons .,A 4 5|||SVA|||are|||REQUIRED|||-NONE-|||0
I believe that some of the carriers will choose to not reveal their disease to the family members as they do not want to make their family members worry and feel uncomfortable or even feel ostracized by them .,"I believe that some of the carriers choose to not reveal their disease to the family members as they do not want to make their family members worry and feel uncomfortable or , even because the carrier does not want to feel ostracized their family them .","A 7 8|||Vt||||||REQUIRED|||-NONE-|||0; A 32 32|||Mec|||,|||REQUIRED|||-NONE-|||0; A 34 34|||WOinc|||because the carrier does not want to|||REQUIRED|||-NONE-|||0; A 37 38|||Pref|||their family|||REQUIRED|||-NONE-|||0"
"Furthermore , as it could incur spending a lots of money for the treatment , the carrier might not want to be the burden in her family .","Furthermore , as it could involve spending a lot of money on treatment treatments the carrier might not want to be the a in on their .",A 5 6|||Wci|||involve|||REQUIRED|||-NONE-|||0; A 8 9|||Nn|||lot|||REQUIRED|||-NONE-|||0; A 11 12|||Prep|||on|||REQUIRED|||-NONE-|||0; A 12 13|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 13 14|||Nn|||treatments|||REQUIRED|||-NONE-|||0; A 22 23|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 24 25|||Prep|||on|||REQUIRED|||-NONE-|||0; A 25 26|||Pref|||their|||REQUIRED|||-NONE-|||0
I could understand the feeling of the carrier .,I could understand the sentiment of such a carrier :,A 4 5|||Wci|||sentiment|||REQUIRED|||-NONE-|||0; A 6 7|||ArtOrDet|||such a|||REQUIRED|||-NONE-|||0; A 8 9|||Mec|||:|||REQUIRED|||-NONE-|||0
She or he does not want to be the source of unhappiness in thefamily .,they does not do to be the source of unhappiness in thefamily . the family,A 0 3|||Pref|||they|||REQUIRED|||-NONE-|||0; A 3 4|||SVA|||do|||REQUIRED|||-NONE-|||0; A 13 14|||Mec|||the family|||REQUIRED|||-NONE-|||0
"However , we will never know whether this negative effects will happen when the carrier decide to tell his or her family of the his or her condition .","However , we will never know whether these negative effects will happen when the carrier decides to tell his or her family of his or her condition .",A 7 8|||Pform|||these|||REQUIRED|||-NONE-|||0; A 15 16|||SVA|||decides|||REQUIRED|||-NONE-|||0; A 23 24|||ArtOrDet||||||REQUIRED|||-NONE-|||0
"In conclusion , personally I feel that it is better for the carrier to inform her family members about the issue .","In conclusion , personally I feel that it is better for the carrier to inform family members about the issue .",A 15 16|||ArtOrDet||||||REQUIRED|||-NONE-|||0
The carrier should be honest with his or her feeling and I find that it is the right of the family member to know what is going on to his or her life .,"The carrier should be honest with his or her feelings , and I believe that it is the right of the family member to know what is going on to his or her life .","A 9 10|||Nn|||feelings ,|||REQUIRED|||-NONE-|||0; A 12 13|||Wci|||believe|||REQUIRED|||-NONE-|||0"
"If anything wrong happened to the carrier 's life , without informing the family members it could make a huge regret in their life if she leaves without them knowing about it .","If anything wrong happened to the carrier , without the family members it could make , would be regret in their life if lives","A 7 9|||Pref||||||REQUIRED|||-NONE-|||0; A 9 10|||Mec||||||REQUIRED|||-NONE-|||0; A 15 15|||Mec|||,|||REQUIRED|||-NONE-|||0; A 16 17|||Vm|||would|||REQUIRED|||-NONE-|||0; A 17 18|||Wci|||be|||REQUIRED|||-NONE-|||0; A 23 24|||Nn|||lives|||REQUIRED|||-NONE-|||0; A 24 32|||Rloc-||||||REQUIRED|||-NONE-|||0"
"On top of that , it is better to think about solutions for her problem with the family members as there are more heads to think about it rather than thinking about it alone and struggling on your own .","On top of that , it is better to think about solutions to the problem with the family members , as be there minds more heads to think it rather than thinking about alone and struggling on your own .","A 12 13|||Prep|||to|||REQUIRED|||-NONE-|||0; A 13 14|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 19 19|||Mec|||,|||REQUIRED|||-NONE-|||0; A 21 21|||Vm|||would|||REQUIRED|||-NONE-|||0; A 21 22|||Vform|||be|||REQUIRED|||-NONE-|||0; A 23 24|||Wci|||minds|||REQUIRED|||-NONE-|||0; A 28 29|||Rloc-||||||REQUIRED|||-NONE-|||0; A 33 34|||Rloc-||||||REQUIRED|||-NONE-|||0"
"In the end , I believe that the support in terms of mental or even monetary from your family could help the carrier to fight against the genetic disease .","In the end , I believe that support in mental or even monetary from your family , the help the carrier to fight against the genetic disease .","A 7 8|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 9 9|||Mec|||,|||REQUIRED|||-NONE-|||0; A 9 12|||Rloc-||||||REQUIRED|||-NONE-|||0; A 16 16|||Mec|||,|||REQUIRED|||-NONE-|||0; A 17 18|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0"
True enough that there are lots of cancer 's patient who were given second choice to live as a normal person as they have a strong mental support from their loved one .,"True enough that there are lots of cancer patient patients were given second a chance to live as a normal person , as had a strong mental support from their loved ones .","A 2 2|||Mec|||,|||REQUIRED|||-NONE-|||0; A 2 3|||Rloc-||||||REQUIRED|||-NONE-|||0; A 8 9|||Npos||||||REQUIRED|||-NONE-|||0; A 9 10|||Nn|||patients|||REQUIRED|||-NONE-|||0; A 13 13|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 14 15|||Wci|||chance|||REQUIRED|||-NONE-|||0; A 21 21|||Mec|||,|||REQUIRED|||-NONE-|||0; A 23 24|||Vt|||had|||REQUIRED|||-NONE-|||0; A 24 25|||ArtOrDet||||||REQUIRED|||-NONE-|||0; A 31 32|||Nn|||ones|||REQUIRED|||-NONE-|||0"
"In my opinion , as long as we keep our mind healthy and strong , we can fight any disease as they come to us when we are fragile and weak .","In my opinion , as long as we keep our mind healthy and strong , we can fight any disease .",A 20 31|||Others||||||REQUIRED|||-NONE-|||0
