Before Statements,After Statements,Error Correction
People and friends often mock of your conditions.,People and friends may often mock their condition.,"[{'idx_src': [], 'idx_tgt': [3], 'corr_type': 'Vm'}, {'idx_src': [5], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [6], 'idx_tgt': [6], 'corr_type': 'ArtOrDet'}, {'idx_src': [7], 'idx_tgt': [7], 'corr_type': 'Nn'}]"
A strong mental condition and conviction must be build from within and from the closest ones.,A strong mental state and conviction must be built from within and from their closest ones.,"[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Wci'}, {'idx_src': [8], 'idx_tgt': [8], 'corr_type': 'Vt'}, {'idx_src': [13], 'idx_tgt': [13], 'corr_type': 'ArtOrDet'}]"
If not their family then who else that are willing to do that?,If not their family then who else will be willing to do that?,"[{'idx_src': [7], 'idx_tgt': [], 'corr_type': 'Ssub'}, {'idx_src': [8], 'idx_tgt': [7, 8], 'corr_type': 'Vt'}]"
It is not a heavy job for the family if they have prepare their mental first by disclosing the information of the probability that their children may suffer from the genetic disorder.,It is not a difficult job for the family if they have prepared mentally first by disclosing the information of the probability that their children may suffer from the genetic disorder.,"[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'Wci'}, {'idx_src': [12], 'idx_tgt': [12], 'corr_type': 'Vt'}, {'idx_src': [13], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [14], 'idx_tgt': [13], 'corr_type': 'Wform'}]"
"In this modern world, the technologies were improved a lot compared with the last century.","In this modern world, technologies have improved a lot, compared with the last century.","[{'idx_src': [5], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [7], 'idx_tgt': [6], 'corr_type': 'Wci'}, {'idx_src': [], 'idx_tgt': [10], 'corr_type': 'Mec'}]"
"Particularly, in the medical field, there is a great improvement in many treatments for many formally incurable diseases, and genetic testing is one of the methods which were used to diagnose an individual at risk for a genetic disorder.","Particularly in the medical field, there has been a great improvement in many treatments for many formerly incurable diseases, and genetic testing is one of the methods that are used to diagnose an individual at risk of a genetic disorder.","[{'idx_src': [1], 'idx_tgt': [], 'corr_type': 'Mec'}, {'idx_src': [8], 'idx_tgt': [7, 8], 'corr_type': 'Vt'}, {'idx_src': [17], 'idx_tgt': [17], 'corr_type': 'Mec'}, {'idx_src': [29], 'idx_tgt': [29], 'corr_type': 'Ssub'}, {'idx_src': [30], 'idx_tgt': [30], 'corr_type': 'Vt'}, {'idx_src': [38], 'idx_tgt': [38], 'corr_type': 'Prep'}]"
The medical authorities claimed that only the individual who is at risk for a genetic disorder can make the decision to undergo genetic testing.,The medical authorities claim that only the individual who is at risk of a genetic disorder can make the decision to undergo genetic testing.,"[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Vt'}, {'idx_src': [12], 'idx_tgt': [12], 'corr_type': 'Prep'}]"
"However, once a test has been conducted and the results are known, a family-related ethical dilemma is born.","However, once a test has been conducted and the results are known, a family-related ethical dilemma is born.",[]
The question is whether a carrier of a known genetic risk should tell his or her relatives.,The question is whether a carrier of a known genetic risk should tell his or her relatives.,[]
"In my opinion, the carrier of a known genetic risk has to tell his or her relatives about this.","In my opinion, the carrier of a known genetic risk has to tell his or her relatives about it.","[{'idx_src': [19], 'idx_tgt': [19], 'corr_type': 'Pref'}]"
This is because his or her relatives have the right to know about this.,This is because his or her relatives have the right to know about it.,"[{'idx_src': [13], 'idx_tgt': [13], 'corr_type': 'Pref'}]"
"As many people realize, a genetic disorder can be related to the carrier's relatives, that is, one of the family members is at risk for a genetic disorder means that other family members also have almost the equally risk to have it, so this problem should be treated seriously by the family.","As many people realize, a genetic disorder can be related to the carrier's relatives. That is, one of the family members at risk of a genetic disorder means that other family members have almost the same risk of having it, so this problem should be treated seriously by the family.","[{'idx_src': [16, 17], 'idx_tgt': [16, 17], 'corr_type': 'Srun'}, {'idx_src': [25], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [28], 'idx_tgt': [27], 'corr_type': 'Prep'}, {'idx_src': [37], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [41], 'idx_tgt': [39], 'corr_type': 'Wci'}, {'idx_src': [43], 'idx_tgt': [41], 'corr_type': 'Prep'}, {'idx_src': [44], 'idx_tgt': [42], 'corr_type': 'Vform'}]"
Every family member has their human right to know what is going on with them.,Every family member has a human right to know what is going on with them.,"[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'ArtOrDet'}]"
"If they do not even know that they are at risk for a genetic disorder, how can this explain their right?","If they do not even know that they are at risk of a genetic disorder, how can they exercise their right?","[{'idx_src': [11], 'idx_tgt': [11], 'corr_type': 'Prep'}, {'idx_src': [18], 'idx_tgt': [18], 'corr_type': 'Pref'}, {'idx_src': [19], 'idx_tgt': [19], 'corr_type': 'Others'}]"
"For instance, John is informed by his doctor that he is at risk for a genetic disorder but he does not tell his sibling, James about this.","For instance, John is informed by his doctor that he is at risk of a genetic disorder but he does not tell his sibling, James, about this.","[{'idx_src': [14], 'idx_tgt': [14], 'corr_type': 'Prep'}, {'idx_src': [], 'idx_tgt': [27], 'corr_type': 'Mec'}]"
"Although telling James about this is horrible to some extent, he should know what will be likely to be going on for him.","Although telling James about it is horrible to some extent, he should know what will be likely going on for him.","[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'Pref'}, {'idx_src': [18, 19], 'idx_tgt': [], 'corr_type': 'Rloc-'}]"
This might be beneficial for his future if he is aware of the risk of having this disorder.,It might be beneficial to his future if he were aware of the risk of having this disorder.,"[{'idx_src': [0], 'idx_tgt': [0], 'corr_type': 'Pref'}, {'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'Prep'}, {'idx_src': [9], 'idx_tgt': [9], 'corr_type': 'Vt'}]"
"The next point is that telling relatives can raise their awareness of having the similar genetic disorder, preventing certain genetic disorders to affect themselves.","The next point is that telling relatives can raise their awareness of having similar genetic disorders, preventing certain genetic disorders from affecting them.","[{'idx_src': [13], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [16], 'idx_tgt': [15], 'corr_type': 'Nn'}, {'idx_src': [22], 'idx_tgt': [21], 'corr_type': 'Prep'}, {'idx_src': [23], 'idx_tgt': [22], 'corr_type': 'Wform'}, {'idx_src': [24], 'idx_tgt': [23], 'corr_type': 'Pform'}]"
"Genetic disorders are innate, but the great improvement of medical treatment makes it possible for humans to prevent the disorder or to reduce the negative effects of the disorder on themselves.","Genetic disorders are innate, but the great improvement of medical treatments makes it possible for humans to prevent the disorder, or to reduce the negative effects of the disorder.","[{'idx_src': [11], 'idx_tgt': [11], 'corr_type': 'Nn'}, {'idx_src': [], 'idx_tgt': [21], 'corr_type': 'Mec'}, {'idx_src': [30, 31], 'idx_tgt': [], 'corr_type': 'Rloc-'}]"
"In addition, doctors usually quote a statement, ""Prevention is better than curation""; this gives us an idea that preventing a disorder to happen has far more advantages than curing it.","In addition, doctors usually quote a statement, ""Prevention is better than cure""; this gives us the idea that preventing a disorder from happening has far more advantages than curing it.","[{'idx_src': [14], 'idx_tgt': [14], 'corr_type': 'Mec'}, {'idx_src': [20], 'idx_tgt': [20], 'corr_type': 'ArtOrDet'}, {'idx_src': [26], 'idx_tgt': [26], 'corr_type': 'Prep'}, {'idx_src': [27], 'idx_tgt': [27], 'corr_type': 'Vform'}]"
"Awareness of having a genetic disorder may help in diagnosing a genetic disorder for a person, and therefore, this may make the prevention of a certain disorder possible.","Awareness of having a genetic disorder may help in diagnosing a person with a genetic disorder, and therefore this may make the prevention of a certain disorder possible.","[{'idx_src': [], 'idx_tgt': [10, 11, 12], 'corr_type': 'WOinc'}, {'idx_src': [13, 14, 15], 'idx_tgt': [], 'corr_type': 'WOinc'}, {'idx_src': [19], 'idx_tgt': [], 'corr_type': 'Mec'}]"
"For example, hypertension is partially due to genetic factors, but environmental factors also play an important role.","For example, hypertension is partially due to genetic factors, but environmental factors also play an important role.",[]
"People who aware of having such disorder can prevent the disorder to happen by adapting a healthy lifestyle, including having a balanced diet and at least having exercise for 30 minutes every day.","People who aware of having such a disorder can prevent the disorder from happening by adapting a healthy lifestyle, including having a balanced diet and exercising for at least 30 minutes every day.","[{'idx_src': [], 'idx_tgt': [6], 'corr_type': 'ArtOrDet'}, {'idx_src': [11], 'idx_tgt': [12], 'corr_type': 'Prep'}, {'idx_src': [12], 'idx_tgt': [13], 'corr_type': 'Vform'}, {'idx_src': [25, 26], 'idx_tgt': [], 'corr_type': 'WOinc'}, {'idx_src': [27, 28], 'idx_tgt': [26], 'corr_type': 'Wci'}, {'idx_src': [], 'idx_tgt': [28, 29], 'corr_type': 'WOadv'}]"
"To sum up, a carrier of a known genetic risk should be obligated to tell his or her relatives.","To sum up, a carrier of a known genetic risk should be obligated to tell his or her relatives.",[]
"This is their human right to know about that, and this may also save their lives by preventing the disorder to happen.","It is their human right to know about it, and it may also save their lives by preventing the disorder from happening.","[{'idx_src': [0], 'idx_tgt': [0], 'corr_type': 'Pref'}, {'idx_src': [8], 'idx_tgt': [8], 'corr_type': 'Pref'}, {'idx_src': [11], 'idx_tgt': [11], 'corr_type': 'Pref'}, {'idx_src': [21], 'idx_tgt': [21], 'corr_type': 'Prep'}, {'idx_src': [22], 'idx_tgt': [22], 'corr_type': 'Vform'}]"
"Together with the advancement of technology over past decades,medical advancement has increased exponentially and further enhancements are still constantly upgrading.Empower doctors with advance medical knowledge,doctors are able to diagnose and undergo genetic testing for patients to help them prevent and take necessary steps to protect their life.However, once a test has been conducted and the results are known,a question of disclosing the results to his or her relatives become a challenging issue to both patient and doctor.In my opinion,I feel the strong urge to support the obligation to inform patient relatives.","Together with the advancement of technology over past decades, medical advancement has increased exponentially, and further enhancements are still constantly upgrading. Empowering doctors with advanced medical knowledge, doctors are able to diagnose and run genetic testing of patients, to help them prevent and take the necessary steps to protect their life. However, once a test has been conducted and the results are known, the question of disclosing the results to his or her relatives becomes a challenging issue to both patient and doctor. In my opinion, I feel a strong urge to support the obligation to inform patients 'relatives.","[{'idx_src': [8], 'idx_tgt': [8, 9, 10], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [15], 'corr_type': 'Mec'}, {'idx_src': [19], 'idx_tgt': [22, 23, 24], 'corr_type': 'Vform'}, {'idx_src': [22], 'idx_tgt': [27], 'corr_type': 'Mec'}, {'idx_src': [24], 'idx_tgt': [29, 30, 31], 'corr_type': 'Mec'}, {'idx_src': [30], 'idx_tgt': [37], 'corr_type': 'Wci'}, {'idx_src': [33], 'idx_tgt': [40], 'corr_type': 'Prep'}, {'idx_src': [], 'idx_tgt': [42], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [49], 'corr_type': 'ArtOrDet'}, {'idx_src': [46], 'idx_tgt': [55, 56, 57], 'corr_type': 'Mec'}, {'idx_src': [58], 'idx_tgt': [69, 70, 71], 'corr_type': 'ArtOrDet'}, {'idx_src': [69], 'idx_tgt': [82], 'corr_type': 'SVA'}, {'idx_src': [77], 'idx_tgt': [90, 91, 92], 'corr_type': 'Mec'}, {'idx_src': [79], 'idx_tgt': [94, 95, 96], 'corr_type': 'Mec'}, {'idx_src': [81], 'idx_tgt': [98], 'corr_type': 'ArtOrDet'}, {'idx_src': [90], 'idx_tgt': [107, 108], 'corr_type': 'Npos'}]"
"As it is a genetic risk,the patient next-of-skin might have a high chance of carrying the risk,hence the need to inform their relatives is important so that necessary prevention actions could be taken before unforeseen circumstances might occur.For example,if you are the only child in a family and unfortunately,you are suffering from a genetic disease that the genetic trait might be passed on to your next generation if you have a child,hence by letting your family members aware of the situation,it would lessen family stresses and suffering on forcing you to settle down and have children.However, social ethic issues like discrimination and privacy are biggest concerns and potential barriers to enforce patients or doctors to disclose information to patients relatives.It challenges the confidentiality and privacy principles.Currently, under the Health Insurance Portability and Accountability Act of 1996(HIPAA) in the United States,there is no legal obligation requirement to disclose information to relatives,it is up to the patient's wish to disclose to their family members.Early disclosement to family members brings in positive reaction and prevention,as in the case of Angelina Jolie,she chose to disclose information and underwent treatment to reduce the risk of breast cancer significantly to under five percent.I still can recall her reason for disclosing her own story was that she does not want to live under the shadow of cancer.","As it is a genetic risk, the patient's next-of-kin might have a high chance of carrying the risk, hence the need to inform relatives is important, so that necessary prevention actions can be taken before unforeseen circumstances occur. For example, if you are the only child in a family and unfortunatelyyou are unfortunately suffering from a genetic disease from a genetic trait that might be passed on to your next generation if you have a child, making your family members aware of the situation, it would reduce the family stress and suffering of forcing you to settle down and have children. However, social ethical issues like discrimination and privacy are the biggest concerns of and potential barriers to enforcing patients or doctors to disclose information to patients 'relatives. It challenges the confidentiality and privacy principles. Currently, under the Health Insurance Portability and Accountability Act of 1996(HIPAA) in the United States, there is no legal obligation to disclose information to relatives; it is up to the patient's wishes to disclose to their family members. Early disclosure to family members brings a positive reaction and prevention, as in the case of Angelina Jolie: she chose to disclose information and underwent treatment to reduce the risk of breast cancer significantly to under five percent. I can still recall the reason for disclosing her own story was that she does not want to live under the shadow of cancer.","[{'idx_src': [5], 'idx_tgt': [5, 6, 7], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [9], 'corr_type': 'Npos'}, {'idx_src': [7], 'idx_tgt': [10], 'corr_type': 'Mec'}, {'idx_src': [16], 'idx_tgt': [19, 20, 21], 'corr_type': 'Mec'}, {'idx_src': [21], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [29], 'corr_type': 'Mec'}, {'idx_src': [30], 'idx_tgt': [35], 'corr_type': 'Vm'}, {'idx_src': [36], 'idx_tgt': [], 'corr_type': 'Vm'}, {'idx_src': [37], 'idx_tgt': [41, 42, 43], 'corr_type': 'Mec'}, {'idx_src': [38], 'idx_tgt': [44, 45, 46], 'corr_type': 'Mec'}, {'idx_src': [48], 'idx_tgt': [56], 'corr_type': 'WOadv'}, {'idx_src': [48], 'idx_tgt': [56], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [58], 'corr_type': 'WOadv'}, {'idx_src': [], 'idx_tgt': [64], 'corr_type': 'Prep'}, {'idx_src': [55], 'idx_tgt': [], 'corr_type': 'Ssub'}, {'idx_src': [56], 'idx_tgt': [65], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [68], 'corr_type': 'Ssub'}, {'idx_src': [71, 72, 73], 'idx_tgt': [81, 82, 83], 'corr_type': 'Mec'}, {'idx_src': [80], 'idx_tgt': [90, 91, 92], 'corr_type': 'Mec'}, {'idx_src': [82], 'idx_tgt': [94], 'corr_type': 'Wci'}, {'idx_src': [], 'idx_tgt': [95], 'corr_type': 'ArtOrDet'}, {'idx_src': [84], 'idx_tgt': [97], 'corr_type': 'Nn'}, {'idx_src': [87], 'idx_tgt': [100], 'corr_type': 'Prep'}, {'idx_src': [95], 'idx_tgt': [108, 109, 110], 'corr_type': 'Mec'}, {'idx_src': [98], 'idx_tgt': [113], 'corr_type': 'Wform'}, {'idx_src': [], 'idx_tgt': [120], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [123], 'corr_type': 'Prep'}, {'idx_src': [111], 'idx_tgt': [128], 'corr_type': 'Vform'}, {'idx_src': [], 'idx_tgt': [137], 'corr_type': 'Npos'}, {'idx_src': [120], 'idx_tgt': [138, 139, 140], 'corr_type': 'Mec'}, {'idx_src': [126], 'idx_tgt': [146, 147, 148], 'corr_type': 'Mec'}, {'idx_src': [144], 'idx_tgt': [166, 167, 168], 'corr_type': 'Mec'}, {'idx_src': [149], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [154], 'idx_tgt': [177, 178, 179], 'corr_type': 'Mec'}, {'idx_src': [161], 'idx_tgt': [186], 'corr_type': 'Nn'}, {'idx_src': [167], 'idx_tgt': [192, 193, 194], 'corr_type': 'ArtOrDet'}, {'idx_src': [168], 'idx_tgt': [195], 'corr_type': 'Mec'}, {'idx_src': [173], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [], 'idx_tgt': [200], 'corr_type': 'ArtOrDet'}, {'idx_src': [177], 'idx_tgt': [204, 205, 206], 'corr_type': 'Mec'}, {'idx_src': [183], 'idx_tgt': [212, 213, 214], 'corr_type': 'Srun'}, {'idx_src': [202], 'idx_tgt': [233, 234, 235], 'corr_type': 'Mec'}, {'idx_src': [203, 204], 'idx_tgt': [236, 237], 'corr_type': 'WOadv'}, {'idx_src': [206], 'idx_tgt': [239], 'corr_type': 'ArtOrDet'}]"
"However,there are still people against the decision of revealing private information.As in the case of Alzheimer patients,it is up to the patient's own choice to disclose information.However,research has shown that doctors have tried to interpret who,how and whom will Alzheimer disease be disclosed to minimise potential negative impact to families members(DementiaToday,2012). .There are associations provide helps to Alzheimer patients like Alzheimer's Association(Alzheimer's Association,1980). .Although there are still thousand of genetic risk diseases out there that might not be receiving all helps and supports from everyone,the needs to receive immediate understanding and support from family members is an utmost help that patients need in their difficult time.","However, there are still people against the decision of revealing private information. As in the case of Alzheimer patients, it is up to the patient's own choice to disclose information. However, research has shown that doctors have tried to interpret how and to whom Alzheimer disease should be disclosed to minimise potential negative impacts on families members(DementiaToday, 2012). .There are associations to provide help to Alzheimer patients like Alzheimer's Association(Alzheimer's Association, 1980). Although there are still thousands of genetic risk diseases out there that are not receiving enough help and support from everyone, the need to receive immediate understanding and support from family members is something that patients need in their difficult time.","[{'idx_src': [0], 'idx_tgt': [0, 1, 2], 'corr_type': 'Mec'}, {'idx_src': [10], 'idx_tgt': [12, 13, 14], 'corr_type': 'Mec'}, {'idx_src': [16], 'idx_tgt': [20, 21, 22], 'corr_type': 'Mec'}, {'idx_src': [27], 'idx_tgt': [33, 34, 35, 36, 37], 'corr_type': 'Mec'}, {'idx_src': [36], 'idx_tgt': [46], 'corr_type': 'Rloc-'}, {'idx_src': [], 'idx_tgt': [48], 'corr_type': 'Prep'}, {'idx_src': [39], 'idx_tgt': [], 'corr_type': 'WOinc'}, {'idx_src': [], 'idx_tgt': [52], 'corr_type': 'WOinc'}, {'idx_src': [48], 'idx_tgt': [59], 'corr_type': 'Nn'}, {'idx_src': [49], 'idx_tgt': [60], 'corr_type': 'Prep'}, {'idx_src': [53], 'idx_tgt': [64, 65, 66], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [71], 'corr_type': 'Prep'}, {'idx_src': [59], 'idx_tgt': [73], 'corr_type': 'Nn'}, {'idx_src': [70], 'idx_tgt': [84, 85, 86], 'corr_type': 'Mec'}, {'idx_src': [72], 'idx_tgt': [88, 89], 'corr_type': 'Mec'}, {'idx_src': [76], 'idx_tgt': [93], 'corr_type': 'Nn'}, {'idx_src': [84], 'idx_tgt': [], 'corr_type': 'Vm'}, {'idx_src': [85], 'idx_tgt': [], 'corr_type': 'WOinc'}, {'idx_src': [86], 'idx_tgt': [101], 'corr_type': 'SVA'}, {'idx_src': [], 'idx_tgt': [102], 'corr_type': 'WOinc'}, {'idx_src': [88], 'idx_tgt': [104], 'corr_type': 'Others'}, {'idx_src': [89], 'idx_tgt': [105], 'corr_type': 'Nn'}, {'idx_src': [91], 'idx_tgt': [107], 'corr_type': 'Nn'}, {'idx_src': [93], 'idx_tgt': [109, 110, 111], 'corr_type': 'Mec'}, {'idx_src': [94], 'idx_tgt': [112], 'corr_type': 'Nn'}, {'idx_src': [105, 106, 107], 'idx_tgt': [123], 'corr_type': 'Others'}]"
"In conclusion,the state should have passed a legal bill to measure and provide information to doctors that till which extend should a doctor opt to reveal to relatives members about the genetic disease and in which situations it is open to patient's decision.In addition,the state could also encourage to create assistance schemes to aid necessary help to needy patients to encourage them to open up for the benefit of own and family members.Although it may face challenges from social ethic issues,in a long term,with appropriate encouragement and aid from the government,more individuals would have a different view of acceptance and take appropriate measurements to protect their own health and their loved ones.","In conclusion, the state should pass a legal bill to measure and provide information to doctors that outlines when a doctor should opt to reveal to relatives about the genetic disease and in which situations it is up to the patient's decision. In addition, the state could also encourage the creation of assistance schemes to aid needy patients in encouraging them to open up for the benefit of themselves and family members. Although the bill may face challenges of social ethical issues, in the long term, with appropriate encouragement and aid from the government, more individuals would have a different view of acceptance, and take appropriate measurements to protect their and their loved ones 'health","[{'idx_src': [1], 'idx_tgt': [1, 2, 3], 'corr_type': 'Mec'}, {'idx_src': [4, 5], 'idx_tgt': [6], 'corr_type': 'Vt'}, {'idx_src': [17, 18, 19], 'idx_tgt': [18, 19], 'corr_type': 'Others'}, {'idx_src': [20], 'idx_tgt': [], 'corr_type': 'WOinc'}, {'idx_src': [], 'idx_tgt': [22], 'corr_type': 'WOinc'}, {'idx_src': [28], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [39], 'idx_tgt': [38], 'corr_type': 'Prep'}, {'idx_src': [], 'idx_tgt': [40], 'corr_type': 'ArtOrDet'}, {'idx_src': [43], 'idx_tgt': [43, 44, 45], 'corr_type': 'Mec'}, {'idx_src': [44], 'idx_tgt': [46, 47, 48], 'corr_type': 'Mec'}, {'idx_src': [49, 50], 'idx_tgt': [53, 54, 55], 'corr_type': 'WOinc'}, {'idx_src': [55, 56, 57], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [60], 'idx_tgt': [62], 'corr_type': 'Prep'}, {'idx_src': [61], 'idx_tgt': [63], 'corr_type': 'Vform'}, {'idx_src': [70], 'idx_tgt': [72], 'corr_type': 'Npos'}, {'idx_src': [73], 'idx_tgt': [75, 76, 77], 'corr_type': 'Mec'}, {'idx_src': [74], 'idx_tgt': [78, 79], 'corr_type': 'ArtOrDet'}, {'idx_src': [78], 'idx_tgt': [83], 'corr_type': 'Prep'}, {'idx_src': [80], 'idx_tgt': [85], 'corr_type': 'Wform'}, {'idx_src': [81], 'idx_tgt': [86, 87, 88], 'corr_type': 'Mec'}, {'idx_src': [82], 'idx_tgt': [89], 'corr_type': 'ArtOrDet'}, {'idx_src': [84], 'idx_tgt': [91, 92, 93], 'corr_type': 'Mec'}, {'idx_src': [91], 'idx_tgt': [100, 101, 102], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [111], 'corr_type': 'Mec'}, {'idx_src': [107], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [108], 'idx_tgt': [], 'corr_type': 'WOinc'}, {'idx_src': [], 'idx_tgt': [123], 'corr_type': 'Npos'}, {'idx_src': [113], 'idx_tgt': [124], 'corr_type': 'WOinc'}]"
"Nowadays, the study in the genetic field has gone further and further due to the high-velocity technological advancement.","Nowadays, the study of genetics has gone further and further due to high-velocity technological advancement.","[{'idx_src': [4], 'idx_tgt': [4], 'corr_type': 'Prep'}, {'idx_src': [5], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [6], 'idx_tgt': [5], 'corr_type': 'Wform'}, {'idx_src': [7], 'idx_tgt': [], 'corr_type': 'Rloc-'}, {'idx_src': [15], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}]"
"Not long ago, the human genome project sponsored by several large multinational corporations(MNCs) has been started.","Not long ago, the human genome project, sponsored by several large multinational corporations(MNCs), was started.","[{'idx_src': [], 'idx_tgt': [8], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [18], 'corr_type': 'Mec'}, {'idx_src': [17, 18], 'idx_tgt': [19], 'corr_type': 'Vt'}]"
"In comparison, in the field of genetic testing which enables people to be aware of the risk of a possible genetic disorder, as the technology has been very mature already, an even more popular topic arises.","In comparison, in the field of genetic testing, which enables people to be aware of the risk of a possible genetic disorder, as the technology is very mature already, an even more popular topic arises.","[{'idx_src': [], 'idx_tgt': [9], 'corr_type': 'Mec'}, {'idx_src': [27, 28], 'idx_tgt': [28], 'corr_type': 'Vt'}]"
"While most people agree that each individual has his own right to decide whether to undergo a genetic test or not, they have different stands in whether it is the patient's responsibility or freedom to share the result with his or her relatives.","While most people agree that each individual has their own right to decide whether to undergo a genetic test or not, they have different positions on whether it is the patient's responsibility or the patient's to share the result with his or her relatives.","[{'idx_src': [8], 'idx_tgt': [8], 'corr_type': 'ArtOrDet'}, {'idx_src': [25], 'idx_tgt': [25], 'corr_type': 'Wci'}, {'idx_src': [26], 'idx_tgt': [26], 'corr_type': 'Prep'}, {'idx_src': [], 'idx_tgt': [35], 'corr_type': 'ArtOrDet'}, {'idx_src': [35], 'idx_tgt': [36, 37], 'corr_type': 'ArtOrDet'}]"
"In my opinion, the patients, which are carriers of some known genetic risk are supposed to share the truth with their family members.","In my opinion, patients that are carriers of some known genetic risk are supposed to share the truth with their family members.","[{'idx_src': [4], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [6], 'idx_tgt': [], 'corr_type': 'Mec'}, {'idx_src': [7], 'idx_tgt': [5], 'corr_type': 'Ssub'}]"
"Admittedly, it is a social obligation to be responsible for the life of other people.","Admittedly, it is a social obligation to be responsible for the lives of other people.","[{'idx_src': [12], 'idx_tgt': [12], 'corr_type': 'Nn'}]"
"To the whole society, it is a duty.","To the whole society, it is a duty.",[]
"Take H1N1 as an example, all the people in Singapore including students at school, travelers at the Changi Airport, workers in the office as well as passengers on the street are forced by law to take their temperature and report the result to the relevant government authority in charge.","Take H1N1 as an example: all the people in Singapore — including students at school, travelers at the Changi Airport, workers in the office as well as passengers on the street — are forced by law to take their temperature and report the result to the relevant government authority in charge.","[{'idx_src': [5], 'idx_tgt': [5], 'corr_type': 'Srun'}, {'idx_src': [], 'idx_tgt': [11], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [34], 'corr_type': 'Mec'}]"
"To those family members who care about them, it is also a moral obligation.","To those family members who care about them, it is also a moral obligation.",[]
How can they not tell their loved ones who they really are and get their loved ones in danger?,"How can they not tell their loved ones who they really are, and instead put their loved ones in danger?","[{'idx_src': [], 'idx_tgt': [12], 'corr_type': 'Mec'}, {'idx_src': [], 'idx_tgt': [14], 'corr_type': 'Others'}, {'idx_src': [13], 'idx_tgt': [15], 'corr_type': 'Wci'}]"
The basis of a family is that everyone trusts and love each other with no doubts.,The basis of family is that everyone trusts and loves each other unconditionally.,"[{'idx_src': [3], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [10], 'idx_tgt': [9], 'corr_type': 'SVA'}, {'idx_src': [13, 14, 15], 'idx_tgt': [12], 'corr_type': 'Wci'}]"
"Without trust and love, there is no difference between a family and a bunch of strangers living together.","Without trust and love, there is no difference between a family and a bunch of strangers living together.",[]
"Hence, it is essential to tell their family members about the risk of their genetic disorder both as a social responsibility and a favor to conserve the family basis.","Hence, it is essential to tell family members about their risk of genetic disorder, both as a social responsibility and a favor to conserve the family basis.","[{'idx_src': [7], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [11], 'idx_tgt': [10], 'corr_type': 'ArtOrDet'}, {'idx_src': [14], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}, {'idx_src': [], 'idx_tgt': [15], 'corr_type': 'Mec'}]"
"Moreover, telling their family members the truth is the fastest and easiest way to get their support.","Moreover, telling family members the truth is the fastest and easiest way to get their support.","[{'idx_src': [3], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}]"
"Without the support of loved ones, patients 'life is no better than death.","Without the support of loved ones, a patient's life is no better than death.","[{'idx_src': [], 'idx_tgt': [7], 'corr_type': 'ArtOrDet'}, {'idx_src': [7, 8], 'idx_tgt': [8, 9], 'corr_type': 'Mec'}]"
